"","x"
"0",24
"1",285778
"2",2
"3",1220
"5",3328
"6",2
"7",126
"8",135
"9",3
"10",46880
"11",42811
"12",2
"14",8
"15",133
"16",91
"18",2
"19",10312
"20",115170
"21",2
"22",5279
"23",162
"24",214
"25",106
"26",4422
"27",100
"28",77
"29",2
"30",30418
"31",2
"32",2025
"33",15
"34",55124
"35",61169
"36",2
"37",10739
"39",2
"40",115
"41",33790
"42",29
"43",2
"44",585
"45",6
"46",9448
"47",493
"48",518
"49",8
"50",276769
"51",2
"53",5
"54",6103
"55",730
"56",253127
"57",2
"58",2984
"59",3396
"60",252
"61",2
"62",7
"63",12459
"64",8
"65",1536
"66",774
"67",2
"68",86696
"69",2
"70",24
"71",476
"72",4470
"73",4
"74",2
"76",10
"77",250
"78",2
"79",36626
"80",2
"81",1619
"82",2
"83",18499
"84",2
"86",27550
"87",4993
"88",2
"90",2
"92",4
"94",1157
"95",2
"96",5
"97",7264
"98",14
"99",134823
"100",2
"101",4
"102",530
"103",2
"104",116812
"105",2
"106",63770
"107",5277
"108",31
"109",334
"111",4065
"113",74
"114",81
"115",134
"116",1168
"118",967
"119",184
"120",5984
"121",2
"123",4
"124",4
"125",2
"126",124118
"127",2
"128",2
"129",2
"130",421
"131",16
"132",4
"133",256
"134",61318
"135",42214
"136",13921
"137",23360
"138",29314
"139",11
"140",1025
"141",2
"142",2
"143",495
"144",2
"145",2
"146",686294
"147",755185
"148",64
"149",262935
"150",2
"151",1118
"152",7
"153",2
"155",640
"156",2
"158",638028
"159",2
"160",506
"162",4
"163",1223
"164",2
"165",2
"166",2
"167",378771
"168",2
"170",2
"171",1720
"172",2
"174",2
"175",223159
"177",5
"178",27385
"179",2
"181",5
"182",300538
"183",2
"184",3003
"185",12
"186",149636
"187",570
"189",2
"191",2
"192",949523
"193",3
"194",2
"195",347144
"196",10
"197",3
"199",4682
"200",41962
"201",6
"202",81102
"203",16996
"204",2
"205",14
"206",81365
"207",253539
"208",2
"209",15644
"210",2
"211",3229
"212",8
"214",2
"215",1786
"216",4
"217",46427
"218",2
