"","degree","eigenvector","closeness","pagerank","crossclique","betweenness","hubscore","authorities"
"0",17,0.0437383541692029,1.31630387138132e-06,0.000121314717507261,21,81401.3849285955,0.00383161386339276,0.0153981539785967
"1",14,0.0237940069347254,1.31784253363134e-06,8.47411181882065e-05,16,56226.5083122794,0.00396088773304387,0.000560344862009607
"10",14,0.0245185182824709,1.31845066225777e-06,9.34665307812996e-05,15,58736.4751515308,0.00469728848592103,0.000745117626343836
"100",4,0.00891347329462465,8.45476489412521e-09,8.86708456913074e-05,5,0,1.20268968748338e-15,0.00121423758005253
"1000",2,0.00299191073342217,8.45476489412521e-09,7.59732169547492e-05,3,0,6.0134484374169e-16,0.00019066740228661
"10000",11,0.0120729752886505,1.29661324620092e-06,6.02654853638342e-05,12,9654.84130338896,0.0058955004448993,7.93584406117423e-05
"10001",1,0.000593864914137125,8.45476489412521e-09,6.02654853638342e-05,2,0,3.00672421870845e-16,7.93584406104041e-05
"10002",1,0.00185435939882577,8.45476489412521e-09,6.01414493737127e-05,2,0,3.00672421870845e-16,4.49489986034912e-05
"10003",1,0.00185435939882576,8.45476489412521e-09,6.01414493737127e-05,2,0,3.00672421870845e-16,4.49489986034912e-05
"10004",2,0.00216511014602643,8.45476489412521e-09,6.53873101071523e-05,3,0,6.0134484374169e-16,6.71260696646997e-05
"10005",10,0.00925435133433684,1.33537735093183e-06,5.49948509997245e-05,11,0,0.00591573769164397,1.34467910788717e-15
"10006",2,0.0014889796700415,8.45476489412521e-09,6.45113294668492e-05,3,0,6.0134484374169e-16,0.000199260090074334
"10007",10,0.00487396238366373,1.57600687138996e-06,5.49948509997245e-05,11,0,0.00250715053171104,1.34467910788717e-15
"10008",10,0.00321404904506205,1.53532710911723e-06,5.96694133347011e-05,11,4521.75331209281,0.000304050274699157,5.99653219354086e-05
"10009",1,0.000285370713649297,8.45476489412521e-09,5.96694133347011e-05,2,0,3.00672421870845e-16,5.99653219342024e-05
"1001",7,0.00963541174065958,8.45476489412521e-09,0.00011373629539313,8,0,2.10572261173351e-15,0.000809640301981279
"10010",1,0.00135864231047736,8.45476489412521e-09,6.36333427547296e-05,2,0,3.00672421870845e-16,2.80254478839006e-05
"10011",2,0.00212602305442117,1.30226137688095e-06,6.36333427547296e-05,3,32609.6783058388,0.000303272122776373,2.80254478840354e-05
"10012",2,0.00666397583594084,1.30106010377255e-06,6.3633342754726e-05,3,651.553434215909,0.000166689276475541,2.80254478840354e-05
"10013",2,0.00105708803694876,8.45476489412521e-09,0.000123488175753056,3,0,6.0134484374169e-16,6.69931767592079e-05
"10014",2,0.00180868994047016,8.45476489412521e-09,6.73592992375132e-05,3,0,6.0134484374169e-16,0.000232037248971399
"10015",1,0.000380683542479028,8.45476489412521e-09,6.12954059318707e-05,2,0,3.00672421870845e-16,7.19254187905109e-05
"10016",2,0.000381993055811793,8.45554234377064e-09,6.12954059318707e-05,3,4352,6.11139059099622e-16,7.19254187906453e-05
"10017",1,0.000475248386743401,8.45476489412521e-09,6.77625019774744e-05,2,0,3.00672421870845e-16,6.53491648321474e-05
"10018",2,0.00151528653555653,8.45476489412521e-09,6.90049466807006e-05,3,0,6.0134484374169e-16,0.000244029518864518
"10019",12,0.0176060107094143,1.31655862108916e-06,6.75720235244089e-05,13,7930.15719927036,0.00481763284669593,9.79457611841777e-05
"1002",1,0.00211821562069963,8.45476489412521e-09,6.93257280000566e-05,2,0,3.00672421870845e-16,8.96575500627961e-05
"10020",12,0.0766642080942452,1.33129201890435e-06,0.000117024372137915,14,47586.332065218,0.0917403210417742,0.00392690698726838
"10021",11,0.0362663112227236,1.31652395546989e-06,6.04796560357086e-05,12,21086.0803017549,0.0673736479188924,0.00391037779877407
"10022",15,0.0172542282068615,1.31618952602699e-06,9.33691816288621e-05,17,75566.7887440658,0.000825374898599944,0.00156462485340983
"10023",2,0.00201424332650829,8.45476489412521e-09,6.55487240410041e-05,3,0,6.0134484374169e-16,0.000903325133125851
"10024",2,0.00054794555497604,8.45554234377064e-09,6.01069720158054e-05,3,4352,6.11139059099622e-16,3.71893313495411e-05
"10025",11,0.00562556954313963,1.30899818441952e-06,6.01069720158054e-05,12,24044.1060856184,0.00117125816623747,3.71893313507461e-05
"10026",8,0.0059142080641345,1.29788211596317e-06,6.01042119517482e-05,9,881.880459093793,0.00146764340894792,0.000144227552057109
"10027",1,0.000604657597260423,8.45476489412521e-09,6.01042119517482e-05,2,0,3.00672421870845e-16,0.00014422755205617
"10028",1,0.000514406065646606,8.45476489412521e-09,6.05867782483877e-05,2,0,3.00672421870845e-16,0.000128611717170067
"10029",4,0.00353254915796776,1.29449167900749e-06,6.01042119517482e-05,6,413.676714380391,0.00124219874806729,6.95750454329843e-05
