"","degree","eigenvector","closeness","pagerank","crossclique","betweenness","hubscore","authorities"
"0",0.156862745098039,0.04373538909683,0.794444786451441,0.107709710463378,0.168141592920354,0.115643633634733,0.00383161386339246,0.0153981539785966
"1",0.127450980392157,0.0237909800210842,0.795379437243019,0.0483107399782477,0.123893805309735,0.0798787113208115,0.00396088773304357,0.000560344862009473
"3",0.147058823529412,0.0363262614476006,0.796889809438172,0.108814094946597,0.141592920353982,0.221459239374351,0.00407371459214178,0.00208292944870151
"8",0.0980392156862745,0.0146495108949928,0.793411524749758,0.0167472549597258,0.0884955752212389,0.0225129190509202,0.00468124931139265,9.16434637420341e-05
"10",0.127450980392157,0.0245154936153159,0.795748841185997,0.0624816319532606,0.115044247787611,0.0834445190260285,0.00469728848592073,0.000745117626343702
"12",0.107843137254902,0.0148659539031347,0.790556936310328,0.0243870852800657,0.0973451327433628,0.0257537414980585,0.00148677905009576,0.000163307702640319
"14",0.117647058823529,0.0273616288298338,0.799532063612652,0.0359842529262657,0.106194690265487,0.0485496618937662,0.0106855589712217,0.00120007148899072
"17",0.137254901960784,0.025843140549346,0.799339177177596,0.0684996558661092,0.15929203539823,0.094790383325025,0.00582317457730807,0.00299597619406943
"19",0.127450980392157,0.0215318967473402,0.796360689923215,0.0463906525604647,0.115044247787611,0.0565789149474034,0.00353711652210533,0.000646317083875374
"20",0.127450980392157,0.0333182651649576,0.793248843145531,0.0788416925087934,0.115044247787611,0.0556693941582348,0.0104207109383391,0.00543491916257653
"21",0.0980392156862745,0.0133410093399999,0.789051609361038,0.0168411276407911,0.0973451327433628,0.0463877740619553,0.00644005080490467,9.74339609445155e-05
"23",0.117647058823529,0.0193943431320659,0.794374275772018,0.0429552356050182,0.106194690265487,0.0485440047835336,0.00132569628676971,0.00250017800770239
"25",0.166666666666667,0.0713305048273902,0.796728883212912,0.127148409262226,0.168141592920354,0.14675561563695,0.0270837337370593,0.00159902427339689
"26",0.166666666666667,0.0628521261666783,0.801976172708446,0.102975856678922,0.168141592920354,0.208583817643762,0.0407716285006597,0.00222543244466238
"29",0.0196078431372549,0.00316200232361059,0.783130813632979,0.0272854854057706,0.0176991150442478,0.0122557781504907,4.47653830109522e-05,0.000128564094351482
"30",0.147058823529412,0.0338673431294093,0.778272425528264,0.247064241353053,0.132743362831858,0.0436099429212077,0.00384788067331433,0.00838077248781083
"38",0.127450980392157,0.0368210671902303,0.801756388200852,0.0506128251704304,0.115044247787611,0.127606946630651,0.00697492701286161,0.000838375497606461
"39",0.147058823529412,0.0272219330997531,0.796018193097312,0.0703783430133894,0.141592920353982,0.0612492501407591,0.00736134736949242,0.00045277101200171
