"","x"
"0",7.73036671683045e-05
"1",7.7493027736296e-05
"2",7.7493027736296e-05
"3",7.7493027736296e-05
"4",7.7493027736296e-05
"5",7.7493027736296e-05
"6",7.7493027736296e-05
"7",7.7493027736296e-05
"8",7.7493027736296e-05
"9",8.16098448347867e-05
"10",7.7493027736296e-05
"13",7.7493027736296e-05
"14",7.7493027736296e-05
"16",7.7493027736296e-05
"17",7.7493027736296e-05
"19",8.29821172009503e-05
"20",8.95167475160149e-05
"21",8.09499065786953e-05
"22",8.09598210823935e-05
"23",7.7493027736296e-05
"24",7.7493027736296e-05
"25",8.39808849976452e-05
"26",8.7274732356553e-05
"27",7.7493027736296e-05
"28",8.21979615631425e-05
"29",8.57266619332775e-05
"30",7.87542707928336e-05
"31",8.31678297617604e-05
"32",7.7493027736296e-05
"33",7.7493027736296e-05
"34",7.7493027736296e-05
"35",7.7493027736296e-05
"36",7.7493027736296e-05
"38",8.09598210823935e-05
"39",7.9701036415663e-05
"40",8.75218778107033e-05
"41",0.000105417681282672
"44",8.88118545236955e-05
"45",7.7493027736296e-05
"46",7.7493027736296e-05
"47",7.7493027736296e-05
"48",8.60725868463806e-05
"49",7.7493027736296e-05
"50",7.7493027736296e-05
"51",8.64287224761221e-05
"52",7.7493027736296e-05
"53",8.98517321338482e-05
"54",0.000104756394597338
"55",7.97993332700857e-05
"56",9.55696533232253e-05
"57",8.57349150353575e-05
"58",7.7493027736296e-05
"59",8.08659708457047e-05
"60",7.8670335059843e-05
"61",8.16098448347867e-05
"62",7.98668434873119e-05
"63",7.8670335059843e-05
"64",7.7493027736296e-05
"65",8.42536684413013e-05
"66",8.22378836501703e-05
"67",0.000123370406200474
"68",7.7493027736296e-05
"69",8.84135766968964e-05
"70",7.7493027736296e-05
"71",7.7493027736296e-05
"72",8.9969739145622e-05
"73",9.10214141467648e-05
"75",8.16506739404856e-05
"76",7.85912393093421e-05
"77",7.94005558424267e-05
"78",8.48118136891684e-05
"79",8.27680866174536e-05
"80",9.1807804850362e-05
"81",7.7493027736296e-05
"82",0.000110690990807429
"83",0.000110916860511023
"84",0.000157558453059961
"85",8.98113951762656e-05
"86",7.7493027736296e-05
"87",9.4095115871496e-05
"88",0.000111255273880861
"89",9.57050424243812e-05
"90",7.7493027736296e-05
"91",8.69028953899891e-05
"92",9.90098631323869e-05
"93",9.56448996231481e-05
"94",9.55289267027731e-05
"95",0.000106936699663611
"96",8.04446284738706e-05
"97",7.7493027736296e-05
"98",9.6855933145641e-05
"99",8.98434790317682e-05
"100",8.84712066656046e-05
"101",9.95056893608118e-05
"102",8.51297234539963e-05
"103",8.53463026244685e-05
"104",9.67379677540399e-05
"105",0.000105395654599734
"106",9.27143591401158e-05
"107",8.34811253341007e-05
"108",9.12626220152065e-05
"109",0.000100885007083257
"110",9.92141389035709e-05
"111",0.000135723935705999
"112",8.25312277092108e-05
"113",0.000109895753360875
"115",0.000117714524407226
"116",0.000118149090820634
"117",0.000104196481269959
"118",0.000120793215292873
"119",0.000208810551087724
"120",7.7493027736296e-05
"121",0.000109991064984562
"122",0.000135792057875187
"123",9.82914496616844e-05
"124",8.16098448347867e-05
"125",8.19302519469101e-05
"126",0.000109531099403323
"127",9.38089798349715e-05
"128",9.55937236958499e-05
"129",8.46804871506827e-05
"130",0.000112292760256704
"131",8.51297234539963e-05
"132",9.91189484506731e-05
"133",9.86950014771828e-05
"134",0.000107922647730673
"135",9.07247378321916e-05
"136",0.000159847694445773
"137",0.000139511009096049
"139",8.41378304746065e-05
"140",0.000126343118934556
"141",0.000121421140914715
"142",0.000149136956048755
"143",0.000190171752607972
"144",0.000148836742885526
"145",7.7493027736296e-05
"146",9.2450463484599e-05
"147",0.000137235431234968
"148",0.000132228953955689
"149",0.000142149627187812
"150",0.00010792792443742
"151",0.000114612884643183
"152",8.48118136891684e-05
"153",7.7493027736296e-05
"154",7.7493027736296e-05
"155",8.16098448347867e-05
"156",9.73243188739263e-05
"158",0.000132468672966691
"159",0.000104083611773328
"160",7.7493027736296e-05
"161",0.000113624113799892
"162",0.000115130186447791
"163",0.000107962973480178
"164",8.60900261725444e-05
"165",0.00010794614593782
"166",7.7493027736296e-05
"167",0.000120102515135362
"168",0.000119704493663125
"169",0.000217872609308191
"170",0.000168575709966197
"171",0.000114254351284698
"172",0.000149321161959289
"173",0.000165908108987573
"174",0.00015268277126204
"175",0.00017719052235162
"176",0.000119376340029999
"177",0.000183243985033279
"178",0.000100383603601286
"180",0.000115351535780242
"181",0.000119140404944308
"182",0.000110427564524222
"184",0.000137590103143815
"185",0.000149221589057087
"186",0.000160183563029014
"187",0.00011758578217649
"188",0.000229664375208864
"189",0.000125010914821486
"190",9.1378121149471e-05
"192",0.000173015178074314
"193",0.00016858250701314
"194",0.000131535664807829
"195",0.000111988615099487
"196",0.00010898768866473
"197",0.000144511834181282
"198",9.94493855949132e-05
"199",0.000158159452462903
"200",0.000246760608841522
"201",9.92141389035709e-05
"202",0.00011959537025769
"203",0.000208149194534327
"204",0.000158358525543865
"206",0.00010255576894923
"207",7.8670335059843e-05
"208",9.04178484220203e-05
"211",0.000135443380829754
"212",0.000103623884927411
"213",0.000182548578393233
"214",0.000177343942626147
"216",7.7493027736296e-05
"217",0.000231270192419749
"218",0.0001310266796664
"219",0.000231130831514324
"220",8.51897466398454e-05
"221",9.19455546204511e-05
"222",0.000105328933411785
"223",0.000148414135803952
"224",0.000178849519471432
"225",0.000218695845732079
"226",0.000167265548211101
"227",0.000338886663473592
"228",8.16098448347867e-05
"229",0.000176826990764003
"230",0.000243449774363543
"231",0.000183649990028232
"232",0.000176986546649731
"233",7.7493027736296e-05
"234",7.7493027736296e-05
