"","degree","eigenvector","pagerank","authorities","hubscore","betweenness","closeness","informationcent","eccentricity","densitymnc","lobby","leverage","localbridge"
"1",2,1.57920191684716e-07,2.62095808059146e-05,1.57915873718451e-07,1.57915873718451e-07,0,2076.73571428571,1.02196076680008,9,0,2,-0.846153846153846,6
"100",8,2.11695766633465e-06,5.2155995885955e-05,2.11707692517127e-06,2.11707692517127e-06,3962.19772460649,2427.05952380952,1.18594376698631,9,1.18506196779507,5,-0.236414565826331,0.158045977011494
"1000",40,1.30675034593559e-09,8.44291275715539e-05,1.30669709357767e-09,1.30669709357767e-09,0,1749.84577922078,0.690549467169072,12,0.470303214626865,21,-0.00121951219512195,0.0250596658711217
"10058",68,0.00884892819362234,0.00017721442096614,0.00884881403373251,0.00884881403373251,123285.14039745,3120.86031746032,1.36986240328401,9,0.349385106094647,21,0.210728918395427,0.00393552227192346
"10062",4,4.21596617032781e-05,2.33130599627597e-05,4.21588525623984e-05,4.21588525623984e-05,425.898759086522,2523.88055555556,2.43278962587565,10,2,3,-0.833333333333333,2.72
"1007",16,0.000394671181113103,6.22148886612859e-05,0.000394699687564923,0.000394699687564923,65542.4751054653,3065.9746031746,0.698191297650261,9,0.702450049655408,8,-0.517714543357143,0.134985797087129
"10070",18,1.11719269136276e-05,8.06224700884692e-05,1.11726899044663e-05,1.11726899044663e-05,8105.86198956575,2545.05198412698,1.73114371458399,9,0.662808939442542,10,-0.269525123832524,0.0863233792977301
"10073",4,0.000143520473225809,2.56302006879821e-05,0.000143553887465456,0.000143553887465456,0,2541.76031746032,1.46340373635329,10,0.628506687260914,3,-0.80979020979021,2.27734375
"10076",20,1.2635653097775e-06,6.10220416898903e-05,1.2635322268749e-06,1.2635322268749e-06,17.5600801496361,2351.36984126984,1.4886281708899,9,0.598629385060625,11,-0.360980654802436,0.101043408625197
"10077",12,3.19024027022682e-05,6.15842346800764e-05,3.1901779661903e-05,3.1901779661903e-05,0,2400.56111111111,3.125,9,1.0035000709363,7,-0.211077023662836,0.12230054680809
"10078",2,0,8.32778147901045e-05,0,0,0,1,1.88611479621893,1,0,2,0,0.5
"10082",6,1.77178827243938e-12,7.47563886300205e-05,1.77169476594689e-12,1.77169476594689e-12,0,1560.69902597403,1.48889268771019,12,0.957985101456568,4,-0.0952380952380952,0.2
"1009",6,6.1951104213713e-07,4.69292640595682e-05,6.19498739726719e-07,6.19498739726719e-07,0,2104.98142135642,1.08025434880137,11,0.957985101456568,4,-0.411111111111111,0.39622641509434
"10091",16,7.09952784992153e-05,8.12872486684126e-05,7.10301148320738e-05,7.10301148320738e-05,35361.0609089317,2621.28888888889,2.12047822388352,9,0.592530983897533,8,-0.0203061748864358,0.0339815822766189
"10092",40,1.17110691017687e-08,7.14726088023938e-05,1.17113206045162e-08,1.17113206045162e-08,0,2056.77824675325,0.561181802346119,11,0.470303214626865,21,-0.155416666666667,0.0338114754098361
"10094",60,9.59693850556295e-06,0.000102625436260291,9.59703731051745e-06,9.59703731051745e-06,2.4,2269.04126984127,2.30864130579075,10,0.382318688121457,31,0.0183616987175812,0.0159278739913551
"10123",230,0.0195697668967382,0.000278743737538156,0.0195695031046631,0.0195695031046631,386409.690704299,3527.81547619048,2.42866569260476,8,0.186036313786897,96,0.150959777293194,0.00190568156335947
"10125",6,7.85109835950144e-08,5.81290667027896e-05,7.85189427334023e-08,7.85189427334023e-08,0,1995.63055555556,1.40593711716449,10,0.957985101456568,4,-0.0833333333333333,0.192307692307692
"10126",12,4.88688828483211e-06,4.10426224353755e-05,4.88689129736549e-06,4.88689129736549e-06,0,2474.41071428571,1.32998233248615,9,1.0035000709363,7,-0.50148864885707,0.218110292317012
"10130",10,7.44927053210059e-05,4.49201893773212e-05,7.44925641206006e-05,7.44925641206006e-05,9041.69593778707,2689.29166666667,1.83356351213472,8,1.18506196779507,6,-0.460403726708075,0.244496878501681
"10199",118,0.00884503283439851,0.000435593391006465,0.00884492297246723,0.00884492297246723,664012.543474991,3310.27619047619,1.86992724057058,8,0.267788886041196,26,0.568611370311842,0.000831303651562724
"10200",4,6.37262673656165e-08,3.12806727094415e-05,6.3727855949879e-08,6.3727855949879e-08,0,2126.62936507937,1.66285239727342,10,0.628506687260914,3,-0.708333333333333,1.45833333333333
"10201",4,8.12798289441947e-09,4.01378032291072e-05,8.12773718090752e-09,8.12773718090752e-09,0,1976.67420634921,2.344007370721,10,0.628506687260914,3,-0.482352941176471,0.625
"10207",32,8.87866217781085e-05,0.00011829366925646,8.87851459657025e-05,8.87851459657025e-05,72391.3571848714,2591.5746031746,2.44729511496164,9,0.725312481037804,14,0.0745549857285205,0.0191708282155177
