"","degree","eigenvector","pagerank","authorities","hubscore","betweenness","closeness","eccentricity","dmnc","lobby","leverage","localbridge"
"0",0.09375,0.134725508732417,0,0,0.489590672016259,0,0.839026923647635,0.625,0.05,0.315789473684211,0.393485206296754,0.000446549694553242
"3",0.895833333333333,0.607596852825722,0.577435218027916,0.865823983708862,0.00102982893774177,0.913427802717066,0.974881704120159,0.625,0.90625,0.736842105263158,0.919192230076551,6.42262479796897e-06
"4",0.708333333333333,0.508717714017724,0.632961352621832,0.581127735884673,0.0952064347607589,0.144925003046523,0.952327172604817,0.625,0.5125,0.736842105263158,0.871798221938882,1.43882531369567e-05
"5",0.854166666666667,0.843615055833029,0.756643532643979,0.767443030763045,0.859818489334497,0.148687634943747,0.978805665012448,0.625,0,0.947368421052632,0.852711629519814,1.56278891896017e-05
"7",0.614583333333333,0.615237102961712,0.612362309992202,0.528644850778698,0.45593836870612,0.0749101963556671,0.949903549700757,0.625,0.38125,0.842105263157895,0.800215959667234,3.54093049273191e-05
"8",0.864583333333333,0.542368506046827,0.50734006534413,0.718468035131175,0.00275555785353647,0.283326024646394,0.976225413417308,0.625,0.8,0.789473684210526,0.910889732988838,8.72144176602651e-06
"9",0.604166666666667,0.61040819394062,0.481332225474073,0.493041719819101,0.767393463534964,0.13887543505861,0.949870575239477,0.625,0.375,0.894736842105263,0.782618831684576,4.04852685248011e-05
"11",0.135416666666667,0.0210244835982256,0.0183584855644694,5.9351960942964e-05,0.0288009236618766,0.0247444072346506,0.800636407102699,0.625,0.08125,0.421052631578947,0.658336920148711,0.000206205653501132
"13",0.0520833333333333,0.00266292386870281,0.0322060739368596,0.000509298264697715,1.56087924445624e-06,0.000105600261734108,0.721965230785899,0.75,0.03125,0.210526315789474,0.44847828586563,0.00178478600155502
"14",0.0520833333333333,0.00230856949412333,0.0241634661522897,0.000525737363924367,0.000222292278248236,0.000332296866163395,0.725568868340042,0.75,0.03125,0.263157894736842,0.396154362647802,0.00269658006705915
"15",0.15625,0.228918889367486,0.0344730600968227,0.000499578702912469,0.894200310575672,0.0309649970049228,0.886773943580697,0.625,0.0875,0.684210526315789,0.355392905119644,0.000938175941462289
"17",0.395833333333333,0.176848436985131,0.226811143879186,0.230051270963511,0.00093225893364081,0.215563249477794,0.894168466522678,0.625,0.23125,0.684210526315789,0.805148274315673,6.2533860438748e-05
"20",0.166666666666667,0.135595357242098,0.0410243087823817,0.00376471037444577,0.486702010525988,0.0927032685639267,0.869437620562874,0.625,0.09375,0.578947368421053,0.510079631700434,0.00029566468835898
"21",0.197916666666667,0.00499985913304238,0.0639482487521789,0.0018949636478274,0.00130296273378712,0.0630292767357797,0.816641975076018,0.75,0.13125,0.578947368421053,0.747059564278475,0.000126601796282307
"22",0.09375,0.0159581531606856,0,0,0.0248931450516894,0,0.779161789194269,0.625,0.05,0.315789473684211,0.590033924547485,0.000434271421983521
"25",0.0208333333333333,0.00145319293200956,0.0143981978620753,0.00037386090538291,0.000734777341954921,0.00581459266266944,0.705155321489221,0.75,0.0125,0.105263157894737,0.199385404475321,0.0144210748998208
"27",0.114583333333333,0.00312658857380893,0.00914458654109773,0.000380524909798063,0.00198334463016155,0.00556905438126527,0.755759342960306,0.75,0.06875,0.263157894736842,0.702612426485779,0.000337466358909665
"28",0.0416666666666667,0.000954598903985623,0.00858261599249344,0.000373900130548984,0.000484478279248773,0.00423650497754281,0.690971592501608,0.75,0.025,0.210526315789474,0.410577926626299,0.00305310540002848
"29",0.0833333333333333,0.00470386652873298,0.029843216286658,0.0039975072563965,0.000406457412485915,0.0284312453039178,0.772761210728005,0.75,0.04375,0.421052631578947,0.443694812020978,0.00157573713961024
"30",0.135416666666667,0.24360289200961,0.0216638900097232,0.000413249519074198,0.941123451973233,0.0145015858341048,0.890293967322309,0.625,0.08125,0.631578947368421,0.262603935849742,0.00175354897449111
"31",0.375,0.178021903260548,0.186221308148299,0.194132207926198,0.100599762307823,0.214469784046919,0.904745024978154,0.625,0.21875,0.684210526315789,0.785700837680914,6.88255879824301e-05
