"","degree","eigenvector","pagerank","authorities","hubscore","betweenness","closeness","informationcent","eccentricity","densitymnc","lobby","leverage","localbridge"
"0",17,0.043738354169203,0.000121314717507261,0.0153981539785967,0.00383161386339276,81401.3849285955,2795.63333333333,1.99787252625327,7,16,12,0.165871918872639,0.0389442641829486
"1",14,0.0237940069347255,8.47411181882065e-05,0.000560344862009607,0.00396088773304387,56226.5083122794,2730.60476190476,1.94164650531331,7,13,11,0.0833372256944342,0.0549296392230308
"10",14,0.024518518282471,9.34665307812996e-05,0.000745117626343836,0.00469728848592103,58736.4751515308,2687.85714285714,1.02542350883752,7,13,10,0.166689858076926,0.0369150389302316
"100",4,0.00891347329462467,8.86708456913074e-05,0.00121423758005253,1.20268968748338e-15,0,2446.41428571429,0.670041805614139,7,3,4,-0.555332739156269,0.870350690754517
"1000",2,0.00299191073342218,7.59732169547492e-05,0.00019066740228661,6.0134484374169e-16,0,2306.06428571429,0.654379097997207,7,1,2,-0.777142857142857,3.94285714285714
"10000",11,0.0120729752886506,6.02654853638342e-05,7.93584406117423e-05,0.0058955004448993,9654.84130338896,2587.07142857143,1.53046426273511,8,10,8,0.155090808973458,0.0310249307479224
"10001",1,0.000593864914137134,6.02654853638342e-05,7.93584406104041e-05,3.00672421870845e-16,0,2038.75119047619,1.81674695003521,8,0,1,-0.833333333333333,11
"10002",1,0.00185435939882578,6.01414493737127e-05,4.49489986034912e-05,3.00672421870845e-16,0,2053.30873015873,1.77075687596441,9,0,1,-0.833333333333333,11
"10003",1,0.00185435939882578,6.01414493737127e-05,4.49489986034912e-05,3.00672421870845e-16,0,2053.30873015873,1.90445875280235,9,0,1,-0.833333333333333,11
"10004",2,0.00216511014602645,6.53873101071523e-05,6.71260696646997e-05,6.0134484374169e-16,0,2135.79166666667,1.88994040866356,8,1,2,-0.692307692307692,2.75
"10005",10,0.0092543513343369,5.49948509997245e-05,1.34467910788717e-15,0.00591573769164397,0,2474.03095238095,1.01875537292666,8,9,6,0.256950416733025,0.0463674578574158
"10006",2,0.00148897967004152,6.45113294668492e-05,0.000199260090074334,6.0134484374169e-16,0,2153.97976190476,1.73285349643633,8,1,2,-0.67948717948718,2.61904761904762
"10007",10,0.00487396238366378,5.49948509997245e-05,1.34467910788717e-15,0.00250715053171104,0,2439.14523809524,1.25329657911859,8,9,5,0.306525995978329,0.0329337610445157
"10008",10,0.00321404904506213,5.96694133347011e-05,5.99653219354086e-05,0.000304050274699157,4521.75331209281,2358.96547619048,1.76237992249652,8,9,5,0.335595776772247,0.0360747262185957
"10009",1,0.000285370713649305,5.96694133347011e-05,5.99653219342024e-05,3.00672421870845e-16,0,1980.07658730159,1.00497573323994,9,0,1,-0.818181818181818,10
"1001",7,0.00963541174065961,0.00011373629539313,0.000809640301981279,2.10572261173351e-15,0,2582.44761904762,1.35390128185097,7,6,7,-0.340328385065227,0.28377428116523
"10010",1,0.00135864231047737,6.36333427547296e-05,2.80254478839006e-05,3.00672421870845e-16,0,2035.74801587302,0.636047947160608,9,0,1,-0.833333333333333,11
"10011",2,0.00212602305442119,6.36333427547296e-05,2.80254478840354e-05,0.000303272122776373,32609.6783058388,2169.18333333333,1.25356741530288,8,1,2,-0.703296703296703,2.8695652173913
"10012",2,0.00666397583594086,6.3633342754726e-05,2.80254478840354e-05,0.000166689276475541,651.553434215909,2266.18928571429,1.92814965437114,8,1,2,-0.750915750915751,3.48333333333333
"10013",2,0.00105708803694878,0.000123488175753056,6.69931767592079e-05,6.0134484374169e-16,0,2099.19761904762,0.636047947160608,8,1,2,-0.457142857142857,1.2
"10014",2,0.00180868994047018,6.73592992375132e-05,0.000232037248971399,6.0134484374169e-16,0,2198.46428571429,1.84246785699052,8,1,2,-0.723809523809524,3.12
"10015",1,0.000380683542479036,6.12954059318707e-05,7.19254187905109e-05,3.00672421870845e-16,0,2035.09285714286,0.636047947160609,8,0,1,-0.833333333333333,11
"10016",2,0.00038199305581181,6.12954059318707e-05,7.19254187906453e-05,6.11139059099622e-16,4352,2035.75952380952,1.52469029189824,8,1,2,-0.179487179487179,0.458333333333333
"10017",1,0.000475248386743407,6.77625019774744e-05,6.53491648321474e-05,3.00672421870845e-16,0,2055.93928571429,1.40390619957267,8,0,1,-0.833333333333333,11
"10018",2,0.00151528653555655,6.90049466807006e-05,0.000244029518864518,6.0134484374169e-16,0,2209.23809523809,1.23897463988337,8,1,2,-0.703296703296703,2.8695652173913
"10019",12,0.0176060107094143,6.75720235244089e-05,9.79457611841777e-05,0.00481763284669593,7930.15719927036,2675.22857142857,1.46670729391802,7,11,9,0.0551449537006574,0.0589054166306188
"1002",1,0.00211821562069964,6.93257280000566e-05,8.96575500627961e-05,3.00672421870845e-16,0,2232.15714285714,1.52322465663247,7,0,1,-0.916666666666667,23
"10020",12,0.0766642080942453,0.000117024372137915,0.00392690698726838,0.0917403210417742,47586.332065218,2704.49523809524,1.61066862474368,7,11,10,0.0906251053341846,0.0445538384845464
