"","degree","eigenvector","pagerank","authorities","hubscore","betweenness","closeness","informationcent","eccentricity","dmnc","lobby","leverage","localbridge"
"0",0.156862745098039,0.0437353890968301,0.107709710463378,0.0153981539785966,0.00383161386339246,0.115643633634733,0.647748126559266,0.876416619096019,0.25,0.126984126984127,0.578947368421053,0.63656946385812,0.000371529908706192
"1",0.127450980392157,0.0237909800210843,0.0483107399782477,0.000560344862009473,0.00396088773304357,0.0798787113208115,0.614668420722214,0.8476690108442,0.25,0.103174603174603,0.526315789473684,0.590749491844597,0.000526728744624831
"3",0.147058823529412,0.0363262614476007,0.108814094946597,0.00208292944870151,0.00407371459214178,0.221459239374351,0.605898277562939,0.839584746991381,0.25,0.119047619047619,0.526315789473684,0.659927826417426,0.000171699977460198
"8",0.0980392156862745,0.0146495108949928,0.0167472549597258,9.16434637420341e-05,0.00468124931139265,0.0225129190509202,0.55009565281812,0.57532129588526,0.25,0.0793650793650794,0.368421052631579,0.611124094197153,0.000396495681898941
"10",0.127450980392157,0.024515493615316,0.0624816319532606,0.000745117626343702,0.00469728848592073,0.0834445190260285,0.592922922823911,0.379216516186632,0.25,0.103174603174603,0.473684210526316,0.637023551103204,0.000351828563179502
"12",0.107843137254902,0.0148659539031348,0.0243870852800657,0.000163307702640319,0.00148677905009576,0.0257537414980585,0.540388057538243,0.766709521435395,0.25,0.0873015873015873,0.315789473684211,0.708713467977296,0.000214876433584248
"14",0.117647058823529,0.0273616288298339,0.0359842529262657,0.00120007148899072,0.0106855589712217,0.0485496618937662,0.638124102592467,0.183612542056331,0.25,0.0952380952380952,0.473684210526316,0.542864578809955,0.000613859118702641
"17",0.137254901960784,0.0258431405493461,0.0684996558661092,0.00299597619406943,0.00582317457730807,0.094790383325025,0.607930635002694,0.18090946260162,0.25,0.111111111111111,0.578947368421053,0.615231844064044,0.000294985774793343
"19",0.127450980392157,0.0215318967473402,0.0463906525604647,0.000646317083875374,0.00353711652210533,0.0565789149474034,0.593208760938203,0.180909462601623,0.25,0.103174603174603,0.473684210526316,0.618082812870054,0.00040816719083012
"20",0.127450980392157,0.0333182651649577,0.0788416925087934,0.00543491916257653,0.0104207109383391,0.0556693941582348,0.575449251320134,0.363450992588192,0.25,0.103174603174603,0.368421052631579,0.711330006460166,0.000206817767272053
"21",0.0980392156862745,0.0133410093399999,0.0168411276407911,9.74339609445155e-05,0.00644005080490467,0.0463877740619553,0.512480083684357,0.758600551138834,0.25,0.0793650793650794,0.263157894736842,0.69538895036069,0.000280941293122789
"23",0.117647058823529,0.0193943431320659,0.0429552356050182,0.00250017800770239,0.00132569628676971,0.0485440047835336,0.56832509967494,0.365473675371659,0.25,0.0952380952380952,0.473684210526316,0.635955530268943,0.000363446046855065
"25",0.166666666666667,0.0713305048273904,0.127148409262226,0.00159902427339689,0.0270837337370593,0.14675561563695,0.67533634930225,0.732493141621426,0,0.134920634920635,0.526315789473684,0.652741069688926,0.000199664519456049
"26",0.166666666666667,0.0628521261666785,0.102975856678922,0.00222543244466238,0.0407716285006597,0.208583817643762,0.67822379872798,0.736258431553665,0.25,0.134920634920635,0.631578947368421,0.598787542331243,0.000319976666200338
"29",0.0196078431372549,0.0031620023236106,0.0272854854057706,0.000128564094351482,4.47653830109522e-05,0.0122557781504907,0.381888400806403,0.178031842568425,0.5,0.0158730158730159,0.105263157894737,0.205601401452134,0.0132005425967213
"30",0.147058823529412,0.0338673431294094,0.247064241353053,0.00838077248781083,0.00384788067331433,0.0436099429212077,0.640770527506569,0.71991789210035,0,0.119047619047619,0.526315789473684,0.604326220790936,0.000373291343369502
"38",0.127450980392157,0.0368210671902304,0.0506128251704304,0.000838375497606461,0.00697492701286161,0.127606946630651,0.632893022865232,0.180295705828586,0.25,0.103174603174603,0.526315789473684,0.553097102914144,0.000596430082857384
"39",0.147058823529412,0.0272219330997532,0.0703783430133894,0.00045277101200171,0.00736134736949242,0.0612492501407591,0.616694722269716,0.364854213473727,0.25,0.119047619047619,0.473684210526316,0.689897756444846,0.000167804836679215
"46",0.176470588235294,0.126097024196191,0.134603556016671,0.00111472235466797,0.223528668908105,0.153031611085294,0.714163096886404,0.372736970029883,0.25,0.142857142857143,0.631578947368421,0.547015857686466,0.000253308330002556
"54",0.156862745098039,0.0842321359305719,0.152465164742665,0.00179836435716882,0.0783137616855428,0.255395408164662,0.677851966943711,0.32677714828743,0.25,0.126984126984127,0.631578947368421,0.583859982296558,0.000319130195223148
"58",0.235294117647059,0.18834741668411,0.205868661513541,0.0475047817251906,0.234658697821323,0.223473780268288,0.729593510344372,0.371525429706226,0.25,0.19047619047619,0.631578947368421,0.678763974191986,0.000173318890495866
"60",0.00980392156862745,0.0025735682418371,0.00902342541983646,0.000154031325564225,9.20812758516367e-05,0.0092061163890149,0.347306228101641,0.182086495592724,0.5,0.00793650793650794,0.0526315789473684,0.148754448398577,0.0289175660863492
"61",0.0490196078431373,0.0100300080977031,0.0517036990637767,0.00338106537829447,1.37588244045508e-05,0.0202908225531734,0.481473915354372,0.182124995107944,0.25,0.0396825396825397,0.263157894736842,0.357875534555459,0.00323953167402026
"62",0.0882352941176471,0.0161339721524268,0.00902342541983647,0.0001540313255653,0.00530257174030514,0.0165432977495761,0.54369820824316,0.18385252335046,0.25,0.0714285714285714,0.368421052631579,0.550300645767147,0.00053351671497324
