"","degree","eigenvector","pagerank","authorities","hubscore","betweenness","closeness","informationcent","eccentricity","densitymnc","lobby","leverage","localbridge"
"0",10,0.134725508732417,0.000100579023296235,0,0.489590672016259,0,1697.31666666667,1.57141810200883,6,8,7,-0.247442657236301,0.0417871601186282
"1",1,0.00474795808653388,0.000109128240276415,0.00708183853290879,1.10509052183149e-16,0,1322.24523809524,1.19696107854495,7,0,1,-0.818181818181818,10
"10",7,0.0612354924421188,0.000311977950086344,0.0586012551621017,8.03702197695628e-16,0,1552.05952380952,1.73922939662452,7,6,7,-0.32328861369109,0.263000597728631
"100",4,0.00111594904856137,0.000134449801156515,5.65400187893099e-05,0.000180075726552657,8065.2727937151,1409.2119047619,1.33144627225509,7,3,4,-0.509232640424591,0.764705882352941
"1000",2,0.000381301744212801,0.000118627370254393,4.2135115431461e-05,2.21018104366298e-16,0,1269.99880952381,1.71060455009234,8,1,2,-0.651515151515151,2.36842105263158
"1001",20,0.00410834249676312,0.000369054726282962,0.000115055665457201,0.000612549092086354,13862.9068876573,1615.89523809524,1.54651485159101,7,21,9,0.463309322199711,0.0118564902735718
"1002",13,0.00760661387326334,0.000132976959024242,2.994945846124e-05,0.000881015085564369,25058.2335417509,1611.26904761905,1.67640321042873,7,12,10,0.093981456623839,0.0531223807210748
"1003",4,0.00298375806073595,0.000145436546451402,0.00285440744093643,4.42036208732595e-16,0,1445.05714285714,0.632590997049288,7,3,4,-0.492063492063492,0.729166666666667
"1004",12,0.00564468633385964,0.000135990233469377,2.8005429937423e-05,0.0013785860271973,63680.311644621,1582.43333333333,1.28932471747847,6,11,9,0.148127705627706,0.0403935784567582
"1005",13,0.0271869519067333,0.000133180247200545,0.00128565488311593,0.0774676729628102,9295.73077458438,1599.73095238095,0.977247914078132,7,12,7,0.316023816673298,0.0229956381289581
"1006",2,0.00110237930461482,0.00011849755010235,1.34700130831308e-05,2.21018104366298e-16,0,1295.1380952381,0.617378957230732,7,1,2,-0.67948717948718,2.61904761904762
"1007",4,0.002064636453721,0.000160904638528021,0.00169724504143496,4.42036208732595e-16,0,1448.69285714286,1.5540879256455,7,3,4,-0.519047619047619,0.772833723653396
"1008",1,0.000334969194748077,0.000109128240276415,1.06426318472824e-05,1.10509052183149e-16,0,1220.22738095238,1.52765536586362,8,0,1,-0.818181818181818,10
"1009",11,0.000827766947308964,0.000116851775098753,2.99086072806684e-06,0.000412157344135099,20772.9839095194,1458.20952380952,1.63227899546566,7,10,6,0.344300405476876,0.023491246714022
"101",14,0.219572390216131,0.000146965438141922,8.20602406190188e-05,0.861936080865619,18589.3995149331,1771.6,1.55331307754616,6,13,12,-0.456795434417384,0.149236140564123
"1010",14,0.00888147709566942,0.000147776403947104,7.40235319452294e-05,0.00113562044388128,47935.0125940404,1593.12619047619,1.93145176834358,7,13,9,0.302855886131748,0.019004143036078
