"","x"
"0",0
"1",2546162.00497678
"2",0
"3",1808.61531240032
"4",5465.79020036705
"5",9712884.78620321
"6",30205.8152011722
"7",70026.8915728755
"8",0
"9",9256622.81135533
"10",0
"11",5391.18648735979
"12",5391.18648735979
"13",45531.6223145723
"14",0
"15",25279.1405559573
"16",12246.0043207679
"17",0
"18",57013.1853068647
"19",3054.89119250607
"20",0
"21",2720.08339959066
"22",0
"23",0
"24",0
"25",1078.05057294541
"26",0
"27",8992495.34275027
"28",0
"29",0
"30",16579.5646923576
"31",3054.89119250607
"32",16579.5646923576
"33",0
"34",0
"35",221339.639030736
"36",0
"37",0
"38",0
"39",561534.71427818
"40",0
"41",221339.639030736
"42",26233.2071975146
"43",0
"44",172074.21630365
"45",1693994.46868407
"46",41237369.3093713
"47",0
"48",0
"49",4867.42202613145
"50",5696.7779067173
"51",81820.8417502233
"52",221339.639030736
"53",1878614.12365164
"54",1980940.03939162
"55",80289.7131740459
"56",10223333.9304257
"57",0
"58",16579.5646923576
"59",275359.313435153
"60",1412701.34255454
"61",0
"62",386754.946664837
"63",0
"64",0
"65",92115.1707123267
"66",0
"67",0
"68",0
"69",298961.225207945
"70",1247.15735057385
"71",0
"72",5674263.49957595
"73",2118893.62958892
"74",7403711.93198407
"75",2570842.42729536
"76",27013128.6855304
"77",804.72254283
"78",10685665.4693731
"79",2222071.93854688
"80",8946767.71830366
"81",3221828.62961173
"82",6322556.31260669
"83",3207133.24317174
"84",82348.782281834
"85",480050.565998975
"86",1770823.48326699
"87",141510.931842151
"88",4716128.62722278
"89",6297607.90437348
"90",11293980.9087047
"91",5186205.25989968
"92",1494481.73561872
"93",10264085.6934786
"94",48347.2522733122
"95",21216248.4494621
"96",2303.41555919084
"97",175190.206262601
"98",1438.53584988992
"99",26957.1200288
"100",0
"101",2369950.91491588
"102",8965250.0173062
"103",0
"104",4964.79933002625
"105",0
"106",11477443.1222973
"107",5403925.31979471
"108",48095.4902182975
"109",4766362.08766079
"110",0
"111",1613038.47809119
"112",302515.968389518
"113",113143.72187238
"114",10970334.6949456
"115",546684.593102467
"116",1274909.91194222
"117",1438.53584988992
"118",846067.118813041
"119",49074.2712085181
"120",2864.48032078455
"121",366862.499626617
"122",265945.46691438
"123",453374.42922583
"124",0
"125",108421.996528508
"126",51497.1422745505
"127",21446109.5073535
"128",12190957.7455227
"129",278.879167658716
"130",0
"131",724914.012687491
"132",267032.039741353
"133",3782908.08316207
"134",6534831.49727062
"135",17392.8409241798
"136",27852316.1217405
"137",5247.0346853231
"138",332573.839094949
"139",0
"140",81321177.2436158
"141",121901.516828598
"142",203813.29882761
"143",1778682.72116258
"144",1948887.3660775
"145",1319607.14352663
"146",2608065.66807432
"147",8035843.33110482
"148",0
"149",100727.781996691
"150",4495.39372708529
"151",12399659.870232
"152",0
"153",33901.055915277
"154",67549.5855415395
"155",14325666.7795317
"156",284168.632883901
"157",44893.3786062765
"158",0
"159",1263.38837632561
"160",41497.7976131156
"161",0
"162",0
"163",0
"164",836915.070025411
"165",2495892.38264918
"166",513329.932982063
"167",0
"168",1084347.58582894
"169",124104.88017523
"170",0
"171",708897.54500275
"172",1734129.26456424
"173",581317.6132795
"174",158307.616059016
"175",14922053.2352868
"176",1438.16387935514
"177",220512.902675712
"178",59684.8593096036
"179",0
"180",1547087.55518293
"181",0
"182",846.440817616323
"183",850888.337116739
"184",7890057.63666197
"185",184976.376833912
"186",1734199.72178848
"187",109032.366678137
"188",6517724.7516897
"189",0
"190",0
"191",2096.43369446859
"192",2782490.20334225
"193",943645.326454688
"194",789891.617499233
"195",34243029.2465452
"196",66977.1726465303
"197",276194.2751716
"198",251143.913038261
"199",0
"200",8968981.34745076
"201",0
"202",205.126539016493
"203",183031.994922613
"204",802.082022278058
"205",516772.477272827
"206",108979.433610767
"207",653048.461131094
"208",0
"209",0
"210",0
"211",0
"212",240343.435565315
"213",15544904.7756866
"214",65.4823709799365
"215",3089237.37749379
"216",0
