"","x"
"0",9.08467749767355e-09
"1",9.08745916095853e-09
"2",9.08467749767355e-09
"3",9.0859191041371e-09
"4",9.08665298525673e-09
"5",9.08893860901866e-09
"6",9.08688368404509e-09
"7",9.08721670692788e-09
"8",9.08467749767355e-09
"9",9.08834262557293e-09
"10",9.08491247054773e-09
"11",9.08627509061288e-09
"12",9.08627509061288e-09
"13",9.08701299278383e-09
"14",9.08467749767355e-09
"15",9.08647348757398e-09
"16",9.08646580912843e-09
"17",9.08467749767355e-09
"18",9.08671961752616e-09
"19",9.08472874994051e-09
"20",9.08467749767355e-09
"21",9.08637119192909e-09
"22",9.08467749767355e-09
"23",9.08467749767355e-09
"24",9.08467749767355e-09
"25",9.08624924928273e-09
"26",9.08467749767355e-09
"27",9.0889694222074e-09
"28",9.08467749767355e-09
"29",9.08467749767355e-09
"30",9.08470654880701e-09
"31",9.08472874994051e-09
"32",9.08470654880701e-09
"33",9.08467749767355e-09
"34",9.08467749767355e-09
"35",9.08583646840878e-09
"36",9.08467749767355e-09
"37",9.08467749767355e-09
"38",9.08467749767355e-09
"39",9.0871480029611e-09
"40",9.08467749767355e-09
"41",9.08583646840878e-09
"42",9.08649115630443e-09
"43",9.08467749767355e-09
"44",9.08656901512677e-09
"45",9.08732158157272e-09
"46",9.08941198212462e-09
"47",9.08467749767355e-09
"48",9.08467749767355e-09
"49",9.08687542690709e-09
"50",9.08677204880931e-09
"51",9.08695320974223e-09
"52",9.08583646840878e-09
"53",9.08831115585468e-09
"54",9.08829009356658e-09
"55",9.08689986807911e-09
"56",9.08890093955968e-09
"57",9.08467749767355e-09
"58",9.08470654880701e-09
"59",9.08663250862178e-09
"60",9.08744776466869e-09
"61",9.08467749767355e-09
"62",9.08702868183389e-09
"63",9.08467749767355e-09
"64",9.08467749767355e-09
"65",9.08539062464368e-09
"66",9.08467749767355e-09
"67",9.08467749767355e-09
"68",9.08467749767355e-09
"69",9.08705568364164e-09
"70",9.08501233976343e-09
"71",9.08603203931155e-09
"72",9.08881453228733e-09
"73",9.08859587801094e-09
"74",9.08894992643904e-09
"75",9.08857341016607e-09
"76",9.08954582429991e-09
"77",9.08674207620644e-09
"78",9.08907020675044e-09
"79",9.08827316120968e-09
"80",9.08826787502338e-09
"81",9.08849345197222e-09
"82",9.08813704387185e-09
"83",9.08878999820833e-09
"84",9.08765694894732e-09
"85",9.0873186087148e-09
"86",9.08817768041714e-09
"87",9.08759732260117e-09
"88",9.08899139635166e-09
"89",9.08855284227313e-09
"90",9.08857877931007e-09
"91",9.08812457215949e-09
"92",9.08791396231931e-09
"93",9.08896760480173e-09
"94",9.08705783058126e-09
"95",9.08884336206459e-09
"96",9.08696303590637e-09
"97",9.08791949586475e-09
"98",9.08559129432452e-09
"99",9.08684561876375e-09
"100",9.08616025055487e-09
"101",9.08780800035362e-09
"102",9.08866022587247e-09
"103",9.08550792164073e-09
"104",9.08580732749645e-09
"105",9.08550800418718e-09
"106",9.08905946730749e-09
"107",9.08859158267907e-09
"108",9.08739367397265e-09
"109",9.08841960753459e-09
"110",9.08688228033057e-09
"111",9.0883213153462e-09
"112",9.08782534392012e-09
"113",9.08756181143714e-09
"114",9.08828042972589e-09
"115",9.08794229083942e-09
"116",9.08838433774007e-09
"117",9.08559129432452e-09
"118",9.08830223534428e-09
"119",9.08762961322612e-09
"120",9.08731497522444e-09
"121",9.08735329217816e-09
"122",9.08792346019996e-09
"123",9.0878422746084e-09
"124",9.08658552830408e-09
"125",9.08681374656091e-09
"126",9.08760863668150e-09
"127",9.08876752940368e-09
"128",9.08806675672153e-09
"129",9.08606514437944e-09
"130",9.08550792164073e-09
"131",9.08825911979084e-09
"132",9.08792073471913e-09
"133",9.08801654048092e-09
"134",9.08912820018092e-09
"135",9.08745594026503e-09
"136",9.08956912315544e-09
"137",9.08735254895832e-09
"138",9.08774060883791e-09
"139",9.08550792164073e-09
"140",9.08932721745226e-09
"141",9.08754942388708e-09
"142",9.08559187216034e-09
"143",9.08828241205051e-09
"144",9.08834039542824e-09
"145",9.08835204175145e-09
"146",9.08884641852734e-09
"147",9.08827126148577e-09
"148",9.08606753852088e-09
"149",9.08732777503295e-09
"150",9.08663440766066e-09
"151",9.088910026462e-09
"152",9.08550792164073e-09
"153",9.08677056255988e-09
"154",9.08764860781858e-09
"155",9.08889292657908e-09
"156",9.08762647499675e-09
"157",9.08772797303998e-09
"158",9.0855081692801e-09
"159",9.0860653094926e-09
"160",9.0873144797487e-09
"161",9.08636450440056e-09
"162",9.08627162307761e-09
"163",9.08551089331405e-09
"164",9.08846355061241e-09
"165",9.08856762801809e-09
"166",9.08813035374375e-09
"167",9.08550800418718e-09
"168",9.08838764169046e-09
"169",9.08768370673096e-09
"170",9.08550792164073e-09
"171",9.0884022616998e-09
"172",9.08842092912472e-09
"173",9.08829215849247e-09
"174",9.08826944435929e-09
"175",9.08930805061101e-09
"176",9.08667668212286e-09
"177",9.0881907304417e-09
"178",9.08750193859135e-09
"179",9.08645193842097e-09
"180",9.08859273911417e-09
"181",9.08645193842097e-09
"182",9.08667659955517e-09
"183",9.08834312116078e-09
"184",9.0887910720878e-09
"185",9.08782418768029e-09
"186",9.08873539590186e-09
"187",9.0877956947204e-09
"188",9.08914901851597e-09
"189",9.08629449234714e-09
"190",9.08628755724963e-09
"191",9.08658412468167e-09
"192",9.08849312156938e-09
"193",9.08832412366494e-09
"194",9.08833791749098e-09
"195",9.08931201615774e-09
"196",9.08750202117404e-09
"197",9.08768519327912e-09
"198",9.08784037506462e-09
"199",9.08628763981025e-09
"200",9.08810392370435e-09
"201",9.08628755724963e-09
"202",9.08655365792575e-09
"203",9.08792370797102e-09
"204",9.08667990226403e-09
"205",9.08841010861686e-09
"206",9.08818032345706e-09
"207",9.08777546069796e-09
"208",9.08628763981025e-09
"209",9.08628755724963e-09
"210",9.08628755724963e-09
"211",9.08628755724963e-09
"212",9.08711307333788e-09
"213",9.08897495703823e-09
"214",9.08667626928441e-09
"215",9.08889333961897e-09
"216",9.08628755724963e-09
"217",9.08763944085318e-09
"218",9.08783591526931e-09
"219",9.08780651376529e-09
"220",9.08726088610917e-09
"221",9.08822806363032e-09
"222",9.08628755724963e-09
"223",9.08750136051255e-09
"224",9.08835964078695e-09
"225",9.08859984293627e-09
"226",9.08759699226348e-09
"227",9.08770732638696e-09
"228",9.08876595989575e-09
"229",9.08827448275722e-09
"230",9.08816231777803e-09
"231",9.08726195962733e-09
"232",9.08884443595668e-09
"233",9.08858447886988e-09
"234",9.08871441425208e-09
"235",9.08824689553211e-09
"236",9.08728029205356e-09
"237",9.08645639685803e-09
"238",9.08704395806627e-09
"239",9.08778537122831e-09
