"","x"
"0",1.16491192100965e-06
"1",4.71064842075512e-07
"2",6.18035397730191e-08
"3",5.15733747295621e-07
"4",6.14967156756543e-08
"5",4.44771994308698e-07
"6",6.14052405074406e-08
"7",4.70262481706789e-07
"8",6.14204737533118e-08
"9",5.1429905667267e-07
"10",4.61882670716454e-07
"13",5.06920735339219e-07
"14",6.1819017161701e-08
"16",4.84078887431811e-07
"17",6.25524071886477e-08
"19",6.2536767710866e-08
"20",6.17881732122689e-08
"21",5.06104634096472e-07
"22",7.87025909365152e-08
"23",6.33358431216768e-08
"24",4.67229241822437e-07
"25",4.97773211538184e-07
"26",4.84148025353864e-07
"27",4.44832931871612e-07
"28",6.17881617589359e-08
"29",4.83327847562264e-07
"30",4.9746986825008e-07
"31",4.64486521762355e-07
"32",6.1665039942913e-08
"33",6.13292100478834e-08
"34",3.69918932265994e-07
"35",6.19114082418448e-08
"36",6.24733043761238e-08
"38",6.26315615094231e-08
"39",4.48058785312633e-07
"40",4.81653110539871e-07
"41",6.17727990274491e-08
"44",6.16496585533661e-08
"45",4.61886084111303e-07
"46",6.1911542397922e-08
"47",6.1405210342627e-08
"48",4.68723048424716e-07
"49",6.13748042067027e-08
"50",4.49685782059786e-07
"51",6.21600157936168e-08
"52",6.13443980633083e-08
"53",4.58135361590206e-07
"54",4.44035537052101e-07
"55",4.78850376017258e-07
"56",4.78721087041547e-07
"57",4.39579568517487e-07
"58",4.50887323708693e-07
"59",4.54100642325359e-07
"60",6.22226386990839e-08
"61",6.13595898381402e-08
"62",4.67118151931113e-07
"63",6.19735809103522e-08
"64",4.45084773071303e-07
"65",4.53934912088695e-07
"66",4.61885444095926e-07
"67",4.61765152708045e-07
"68",6.19580145232064e-08
"69",4.46558352449752e-07
"70",6.13595936031397e-08
"71",6.13595973681396e-08
"72",4.46732509082072e-07
"73",6.27424997615785e-08
"75",6.26632887811972e-08
"76",6.13292100478834e-08
"77",6.20666198270576e-08
"78",6.14204737533118e-08
"79",4.44041846503614e-07
"80",4.32548776362767e-07
"81",6.13747966729705e-08
"82",4.53813371066402e-07
"83",6.21444174116229e-08
"84",6.21290275763417e-08
"85",6.26474329024067e-08
"86",6.18960761168234e-08
"87",7.86326969222219e-08
"88",6.27268398550533e-08
"89",6.13900223533349e-08
"90",6.13292100478834e-08
"91",6.14052442780444e-08
"92",6.24106279807316e-08
"93",6.16497003608789e-08
"94",6.23949230499013e-08
"95",6.13748042067027e-08
"96",6.25999133742399e-08
"97",6.13748004398364e-08
"98",4.51493563282015e-07
"99",6.19425288545334e-08
"100",4.44329906068658e-07
"101",6.23791754358792e-08
"102",6.18960722856994e-08
"103",7.86328205844369e-08
"104",4.49324911786287e-07
"105",4.44041452157642e-07
"106",6.23477779002565e-08
"107",4.49528309944375e-07
"108",6.24577785417058e-08
"109",4.45803650240288e-07
"110",6.13444018264437e-08
"111",6.16343874025722e-08
"112",6.13443980633083e-08
"113",4.46608211606544e-07
"115",6.16958485974004e-08
"116",6.15731357393939e-08
"117",6.20511144814519e-08
"118",6.2758636184546e-08
"119",4.43925544807625e-07
"120",7.8557520523545e-08
"121",6.23792571503783e-08
"122",4.39134623745063e-07
"123",6.27109085437279e-08
"124",6.26314516736658e-08
"125",7.8532707459068e-08
"126",6.14814219128149e-08
"127",6.24420459760784e-08
"128",4.27799799960814e-07
"129",6.17880472258403e-08
"130",6.2316586706177e-08
"131",6.19114312399881e-08
"132",6.27266903384651e-08
"133",6.24107798894743e-08
"134",6.2710916409045e-08
"135",6.19115002345208e-08
"136",7.85130630819486e-08
"137",6.16037539356328e-08
"139",6.24105306037214e-08
"140",6.15578115262324e-08
"141",6.23480305722321e-08
"142",6.26951897178384e-08
"143",6.18960799479479e-08
"144",6.14661886482153e-08
"145",6.13292100478834e-08
"146",6.23791520889187e-08
"147",6.13595973681396e-08
"148",6.2347925615932e-08
"149",6.14052442780444e-08
"150",3.88135776104654e-07
"151",6.13900110471325e-08
"152",6.14661810920315e-08
"153",6.16496889588243e-08
"154",6.13595898381402e-08
"155",6.13292100478834e-08
"156",6.23164857390592e-08
"158",6.22070437035586e-08
"159",6.23950398439126e-08
"160",6.14813954530696e-08
"161",6.24737883411791e-08
"162",6.13748079735696e-08
"163",3.83648148609947e-07
"164",6.16496889588243e-08
"165",6.23322133689009e-08
"166",3.69902922676973e-07
"167",6.14052254250301e-08
"168",6.17727188941003e-08
"169",6.2316586706177e-08
"170",6.26001132310848e-08
"171",1.28038661529926e-07
"172",6.23323493548664e-08
"173",3.6925876472604e-07
"174",6.13292100478834e-08
"175",6.1880736266901e-08
"176",6.23008397904e-08
"177",6.13900148158662e-08
"178",6.25683872472613e-08
"180",6.23477740130114e-08
"181",6.14052442780444e-08
"182",6.13292100478834e-08
"184",6.18961489082695e-08
"185",6.23009329440107e-08
"186",6.25211634138156e-08
"187",6.23319297429394e-08
"188",6.22853452361458e-08
"189",6.1405210342627e-08
"190",6.13899884347401e-08
"192",6.13292100478834e-08
"193",6.13443980633083e-08
"194",6.23163964222661e-08
"195",6.13900223533349e-08
"196",6.23007349929211e-08
"197",6.18806788285715e-08
"198",3.6757719212929e-07
"199",6.23166993237329e-08
"200",6.225404206157e-08
"201",6.13443980633083e-08
"202",6.13443980633083e-08
"203",6.21291742572985e-08
"204",6.22852249729869e-08
"206",6.14813954530696e-08
"207",6.14661622015802e-08
"208",6.17727188941003e-08
"211",6.20979815485783e-08
"212",6.20357092430974e-08
"213",6.22696955310783e-08
"214",6.14357032360642e-08
"216",6.14052178838276e-08
"217",6.13900072783993e-08
"218",6.13748079735696e-08
"219",6.13443980633083e-08
"220",6.13748004398364e-08
"221",6.16497117629376e-08
"222",6.20511183317929e-08
"223",6.20357284852494e-08
"224",6.20979275623949e-08
"225",6.13748004398364e-08
"226",6.13748079735696e-08
"227",6.135960113314e-08
"228",6.13292100478834e-08
"229",6.13747891392401e-08
"230",6.13444018264437e-08
"231",6.20356823041045e-08
"232",6.20201693311875e-08
"233",6.13292100478834e-08
"234",6.20200847082721e-08
"236",6.20513031487251e-08
"238",6.20201924102045e-08
"239",6.20047294727453e-08
"242",6.17265394552645e-08
"243",6.13900148158662e-08
"244",6.13292100478834e-08
"245",6.13443980633083e-08
"246",6.16497611719077e-08
"248",6.19891282227141e-08
"249",6.17111883063222e-08
"250",6.19890821109241e-08
"251",6.14204586634171e-08
"252",6.19737153360094e-08
"254",6.16190175020192e-08
"257",6.18962063753216e-08
"258",6.18806788285715e-08
"259",6.13292100478834e-08
"260",6.14661735358496e-08
"261",6.19581258484778e-08
"262",6.13595936031397e-08
"263",6.13292100478834e-08
"265",6.19271199541937e-08
"266",6.15577622645377e-08
"268",6.19270816045356e-08
"269",6.13443980633083e-08
"271",6.19117455496599e-08
"272",6.18498727933666e-08
"273",6.135960113314e-08
"274",6.13595973681396e-08
"275",6.13444018264437e-08
"276",6.14661622015802e-08
"277",6.17573943517799e-08
"280",6.16344253905727e-08
"281",6.1405229195632e-08
"284",6.13900148158662e-08
"285",6.16344253905727e-08
"288",6.1511941374691e-08
"290",6.14661735358496e-08
"291",6.1511964077013e-08
"297",6.14966967664299e-08
"299",6.15883765488707e-08
"300",6.13747966729705e-08
"301",6.13900072783993e-08
"302",6.15425138762983e-08
"303",6.15119565095705e-08
"304",6.1573154695655e-08
"305",6.13595936031397e-08
"306",6.13292100478834e-08
"308",6.14967005482738e-08
"309",6.1374792906105e-08
"310",6.13292100478834e-08
"311",6.13595973681396e-08
"312",6.13444018264437e-08
"313",6.15425328137092e-08
"314",6.13292100478834e-08
"315",6.14967118938085e-08
"318",6.13747891392401e-08
"319",6.13292100478834e-08
"320",6.13595973681396e-08
"322",6.14509440493456e-08
"323",6.13444018264437e-08
"324",6.13748079735696e-08
"325",6.13292100478834e-08
"326",6.13292100478834e-08
"329",6.13292100478834e-08
"330",6.13292100478834e-08
"331",6.13292100478834e-08
"333",6.13292100478834e-08
"334",6.13595936031397e-08
"339",6.13444018264437e-08
"348",3.67485338253717e-07
"349",2.94754229502128e-07
"350",3.35456324592907e-07
"351",6.14356919130294e-08
"352",3.3903476801546e-07
"353",3.42570166934442e-07
"354",3.41247080631225e-07
"355",3.40792834080919e-07
"356",2.32953564667094e-07
"357",3.34883396950016e-07
"359",3.39856308752659e-07
"360",3.40488703436042e-07
"361",3.37534968622749e-07
"362",3.38910443593101e-07
"363",3.41945457647832e-07
"364",6.14052442780444e-08
"365",3.23831994665839e-07
"366",3.4014357460284e-07
"367",3.38516815653559e-07
"368",3.38591891130518e-07
"369",3.34450173947535e-07
"370",3.38696593897703e-07
"371",2.85322090121265e-07
"372",3.02031402809013e-07
"373",3.38254713917693e-07
"374",3.3741561235535e-07
"375",3.2524682981915e-07
"376",3.3697797478259e-07
"377",3.31096664995732e-07
"378",3.27535196113336e-07
"379",6.13443980633083e-08
"380",3.2877638307183e-07
"381",3.28991414311061e-07
"382",2.90291603721771e-07
"383",3.31015124081019e-07
"384",6.13444018264437e-08
"385",3.02538174266829e-07
"386",6.13595973681396e-08
"387",3.3093351380241e-07
"388",3.26097873711424e-07
"389",3.28612378368236e-07
"390",2.86730787316865e-07
"391",3.2672819612056e-07
"392",3.26617532502527e-07
"393",6.13900185846003e-08
"394",3.26021433301068e-07
"395",3.27500334050341e-07
"396",3.01024204754256e-07
"397",3.25702344535757e-07
"398",3.24835316615359e-07
"399",6.13748079735696e-08
"400",3.25440108931313e-07
"402",3.24456211389711e-07
"403",2.89425213103784e-07
"404",3.24518754912403e-07
"405",3.00376792648699e-07
"406",2.86596347386872e-07
"407",2.99624121539529e-07
"408",3.23677598985465e-07
"409",3.23134769171909e-07
"410",2.84430124335785e-07
"411",6.13595898381402e-08
"412",3.22904591380385e-07
"413",3.01748785083954e-07
"414",3.18686197031566e-07
"415",3.01113487565669e-07
"416",3.09864313515755e-07
"417",3.0120382131264e-07
"418",2.9564080588136e-07
"419",3.08806100032178e-07
"420",2.96243718522253e-07
"421",2.91883024958917e-07
"422",2.9962510906354e-07
"423",3.02387866263523e-07
"424",2.76306751334423e-07
"425",3.01113578235029e-07
"426",2.98926227099635e-07
"427",3.00739307439478e-07
"428",2.99922290134626e-07
"429",2.75099682369907e-07
"430",2.95848184912216e-07
