"","x"
"0",2
"1",3
"2",78
"3",57
"4",2
"5",30
"6",74
"7",8
"8",7
"9",19
"10",8
"11",41
"1590",4
"13",1
"14",21
"15",14
"16",37
"17",1
"18",3
"19",10
"20",16
"21",23
"22",18
"23",4
"24",41
"25",11
"26",75
"27",43
"28",10
"29",57
"30",11
"31",27
"32",3
"33",73
"34",2
"35",216
"1595",2
"37",41
"38",39
"39",1
"40",16
"41",12
"42",3
"43",27
"44",28
"45",169
"46",14
"47",17
"636",39
"49",2
"50",23
"51",29
"258",15
"54",18
"55",22
"56",29
"57",59
"58",12
"59",143
"60",20
"61",74
"62",112
"63",53
"64",24
"65",28
"1623",25
"66",12
"67",454
"68",14
"69",7
"70",48
"71",10
"72",5
"73",5
"74",26
"75",6
"76",31
"77",20
"78",60
"79",12
"80",19
"82",14
"83",7
"991",5
"85",13
"86",69
"87",8
"88",49
"89",10
"90",10
"91",3
"92",45
"1880",5
"93",3
"94",73
"95",63
"97",1
"98",11
"99",5
"100",10
"101",50
"102",98
"103",351
"104",33
"105",10
"106",89
"107",23
"108",10
"109",37
"110",45
"111",13
"1865",30
"1391",2
"112",2
"113",44
"114",25
"115",18
"116",99
"1905",5
"117",28
"118",1
"119",29
"120",33
"121",3
"122",25
"123",6
"124",42
"125",1
"126",39
"127",767
"128",28
"130",1
"131",32
"132",20
"133",26
"134",45
"135",10
"136",7
"137",2
"138",10
"139",103
"140",5
"141",106
"142",15
"143",7
"1615",13
"146",19
"148",77
"149",11
"150",83
"151",5
"986",21
"153",28
"154",3
"155",23
"156",5
"158",53
"159",15
"160",7
"161",44
"162",41
"163",67
"164",11
"165",6
"166",3
"1064",2
"168",2
"169",4
"170",19
"171",2
"172",5
"173",64
"174",70
"175",11
"1115",60
"1129",18
"178",6
"179",24
"1834",6
"181",2
"182",32
"183",20
"184",7
"185",8
"186",9
"187",6
"188",267
"189",3
"190",49
"191",14
"192",22
"193",24
"194",11
"195",126
"197",98
"198",35
"199",25
"200",1
"201",69
"202",23
"203",11
"1466",26
"204",19
"205",67
"206",7
"207",87
"208",30
"1181",13
"210",8
"211",46
"1012",85
"213",12
"341",116
"215",29
"216",64
"217",37
"218",2
"219",18
"220",12
"221",12
"222",27
"223",9
"224",68
"225",29
"226",18
"492",31
"228",1
"229",30
"230",22
"1740",11
"231",35
"232",2
"233",1
"234",22
"235",56
"236",10
"237",38
"238",20
"239",10
"240",6
"241",20
"242",18
"243",23
"668",5
"1017",14
"246",19
"247",1
"248",20
"249",46
"1843",35
"250",43
"251",1
"252",9
"253",3
"1019",8
"255",2
"257",19
"53",7
"259",4
"260",112
"261",95
"262",20
"263",10
"264",43
"266",1
"267",120
"268",2
"269",6
"354",1
"655",1
"272",4
"273",5
"274",63
"1636",44
"276",1
"277",16
"278",34
"279",6
"280",12
"281",6
"282",21
"283",12
"284",15
"285",29
"286",3
"287",353
"289",41
"290",590
"291",65
"292",5
"293",20
"295",36
"296",1
"297",18
"298",44
"299",17
"300",25
"301",2
"1024",13
"304",11
"305",279
"306",113
"308",20
"360",6
"310",42
"311",21
"312",8
"313",16
"314",2
"315",148
"316",12
"317",33
"318",135
"319",76
"321",3
"322",22
"323",45
"324",32
"325",25
"326",9
"327",32
"328",12
"329",2
"330",15
"331",16
"332",31
"333",11
"334",4
"1448",6
"335",51
"1652",32
"337",41
"338",33
"339",13
"340",40
"214",16
"342",48
"343",19
"344",1
"365",6
"346",4
"347",15
"348",43
"349",45
"350",19
"1908",21
"1031",34
"352",65
"353",28
"270",8
"355",2
"357",1
"358",83
"359",32
"309",56
"361",19
"362",9
"363",40
"364",2
"643",6
"345",9
"366",7
"367",23
"368",13
"369",237
"371",7
"372",48
"373",29
"1656",8
"375",43
"376",22
"377",6
"378",5
"379",18
"380",6
"381",10
"382",6
"383",21
"384",12
"385",3
"386",20
"387",6
"388",46
"389",13
"390",26
"1036",176
"392",11
"393",8
"394",2
"395",39
"396",7
"397",24
"398",58
"1735",4
"399",16
"400",23
"401",6
"566",9
"403",39
"404",152
"405",4
"406",11
"407",40
"1547",14
"408",45
"409",62
"411",10
"412",28
"413",40
"414",30
"415",67
"416",4
"417",57
"1662",96
"418",6
"419",11
"420",2
"421",8
"666",31
"423",33
"424",71
"425",49
"426",79
"427",1
"428",332
"429",100
"430",4
"431",11
"433",17
"434",4
"435",24
"436",12
"437",9
"438",8
"440",60
"441",190
"442",13
"444",16
"445",25
"446",26
"447",23
"448",26
"451",25
"452",5
"453",18
"454",15
"455",260
"456",7
"457",30
"458",7
"1447",4
"897",6
"460",45
"461",23
"462",29
"1048",10
"464",1
"465",62
"707",7
"467",582
