"","degree","eigenvector","closeness","pagerank","betweenness","hubscore","authorities","radiality","clusterrank","densitymnc","lobby","leverage","subgraph","topologicalcoeff","eccentricity","geodkpath","stress","informationcent","localbridge"
"0",17,0.0437383541692027,2795.63333333333,0.000121314717507261,81401.3849285955,0.00383161386339276,0.0153981539785967,22.9418850574713,0.555555555555556,16,12,0.165871918872639,0.0464373243198376+0i,0.0635168961201502,7,2275,212351,1.99787252625327,0.0389442641829486
"1",14,0.0237940069347252,2730.60476190476,8.47411181882065e-05,56226.5083122794,0.00396088773304387,0.000560344862009607,22.855632183908,0,13,11,0.0833372256944342,0.120108615704782+0i,0.0723158828748891,7,1846,142730,1.94164650531331,0.0549296392230308
"10",14,0.0245185182824707,2687.85714285714,9.34665307812996e-05,58736.4751515308,0.00469728848592103,0.000745117626343836,22.7949425287356,0,13,10,0.166689858076926,0.0245814523720274+0i,0.0744466800804829,7,1572,0,1.02542350883752,0.0369150389302316
"100",4,0.00891347329462459,2446.41428571429,8.86708456913074e-05,0,1.20268968748338e-15,0.00121423758005253,22.4104827586207,0,3,4,-0.555332739156269,0+0i,0.25,7,680,0,0.670041805614139,0.870350690754517
"1000",2,0.00299191073342214,2306.06428571429,7.59732169547492e-05,0,6.0134484374169e-16,0.00019066740228661,22.1472183908046,0,1,2,-0.777142857142857,0+0i,0.5,7,370,0,0.654379097997207,3.94285714285714
"10000",11,0.0120729752886504,2587.07142857143,6.02654853638342e-05,9654.84130338896,0.0058955004448993,7.93584406117423e-05,22.6388045977011,0,10,8,0.155090808973458,0.0362462448550474+0i,0.0909090909090909,8,1171,0,1.53046426273511,0.0310249307479224
"10001",1,0.000593864914137109,2038.75119047619,6.02654853638342e-05,0,3.00672421870845e-16,7.93584406104041e-05,21.5468505747126,0,0,1,-0.833333333333333,0+0i,1,8,90,63026,1.81674695003521,11
"10002",1,0.00185435939882575,2053.30873015873,6.01414493737127e-05,0,3.00672421870845e-16,4.49489986034912e-05,21.5813333333333,0,0,1,-0.833333333333333,0+0i,1,9,87,28641,1.77075687596441,11
"10003",1,0.00185435939882575,2053.30873015873,6.01414493737127e-05,0,3.00672421870845e-16,4.49489986034912e-05,21.5813333333333,0,0,1,-0.833333333333333,0+0i,1,9,87,0,1.90445875280235,11
"10004",2,0.0021651101460264,2135.79166666667,6.53873101071523e-05,0,6.0134484374169e-16,6.71260696646997e-05,21.7788505747126,0,1,2,-0.692307692307692,0+0i,0.5,8,162,12964,1.88994040866356,2.75
