,degree,eigenvector,closeness,pagerank,betweenness,hubscore,authorities,radiality,clusterrank,dmnc,lobby,leverage,subgraph,topologicalcoeff,eccentricity,geodkpath,stress,informationcent,localbridge,,,,,,
0,0.156862745,0.043735389,0.647748127,0.10770971,0.115643634,0.003831614,0.015398154,0.813356205,0.076335878,0.126984127,0.578947368,0.636569464,7.05E-06,0.052810974,0.25,0.352263887,0.111918721,0.876416619,0.00037153,,,,,,
1,0.12745098,0.02379098,0.614668421,0.04831074,0.079878711,0.003960888,0.000560345,0.791315177,0,0.103174603,0.526315789,0.590749492,1.82E-05,0.061710551,0.25,0.285514237,0.075225259,0.847669011,0.000526729,,,,,,
3,0.147058824,0.036326261,0.605898278,0.108814095,0.221459239,0.004073715,0.002082929,0.783443382,0.091603053,0.119047619,0.526315789,0.659927826,3.03E-06,0.055645561,0.25,0.265598257,0.085160601,0.839584747,0.0001717,,,,,,
8,0.098039216,0.014649511,0.550095653,0.016747255,0.022512919,0.004681249,9.16E-05,0.743496957,0,0.079365079,0.368421053,0.611124094,7.70E-06,0.084308003,0.25,0.187490275,0,0.575321296,0.000396496,,,,,Closeness,
10,0.12745098,0.024515494,0.592922923,0.062481632,0.083444519,0.004697288,0.000745118,0.775806565,0,0.103174603,0.473684211,0.637023551,3.73E-06,0.063865707,0.25,0.242881593,0,0.379216516,0.000351829,,,0,,Bin,Frequency
12,0.107843137,0.014865954,0.540388058,0.024387085,0.025753741,0.001486779,0.000163308,0.735554668,0,0.087301587,0.315789474,0.708713468,3.60E-07,0.074837153,0.25,0.179710596,0.011967104,0.766709521,0.000214876,,,0.1,,0,10
14,0.117647059,0.027361629,0.638124103,0.035984253,0.048549662,0.010685559,0.001200071,0.80849214,0,0.095238095,0.473684211,0.542864579,7.03E-06,0.067645865,0.25,0.324412634,0,0.183612542,0.000613859,,,0.2,,0.1,5
17,0.137254902,0.025843141,0.607930635,0.068499656,0.094790383,0.005823175,0.002995976,0.785746176,0.311450382,0.111111111,0.578947368,0.615231844,2.11E-05,0.060784597,0.25,0.269332504,0,0.180909463,0.000294986,,,0.3,,0.2,64
19,0.12745098,0.021531897,0.593208761,0.046390653,0.056578915,0.003537117,0.000646317,0.775336607,0,0.103174603,0.473684211,0.618082813,9.84E-06,0.062765667,0.25,0.244437529,0,0.180909463,0.000408167,,,0.4,,0.3,1138
20,0.12745098,0.033318265,0.575449251,0.078841693,0.055669394,0.010420711,0.005434919,0.761801819,0,0.103174603,0.368421053,0.711330006,1.94E-06,0.064096966,0.25,0.232301229,0,0.363450993,0.000206818,,,0.5,,0.4,2579
21,0.098039216,0.013341009,0.512480084,0.016841128,0.046387774,0.006440051,9.74E-05,0.712761708,0,0.079365079,0.263157895,0.69538895,2.27E-07,0.085486499,0.25,0.1456356,0,0.758600551,0.000280941,,,0.6,,0.5,2048
23,0.117647059,0.019394343,0.5683251,0.042955236,0.048544005,0.001325696,0.002500178,0.756749771,0,0.095238095,0.473684211,0.63595553,1.03E-05,0.066370415,0.25,0.212074063,0,0.365473675,0.000363446,,,0.7,,0.6,2805
25,0.166666667,0.071330505,0.675336349,0.127148409,0.146755616,0.027083734,0.001599024,0.832013535,0.158778626,0.134920635,0.526315789,0.65274107,4.35E-06,0.046112611,0,0.389606348,0,0.732493142,0.000199665,,,0.8,,0.7,1906
26,0.166666667,0.062852126,0.678223799,0.102975857,0.208583818,0.040771629,0.002225432,0.833141434,0.308396947,0.134920635,0.631578947,0.598787542,1.12E-05,0.047525583,0.25,0.39660806,0.005898171,0.736258432,0.000319977,,,0.9,,0.8,294
29,0.019607843,0.003162002,0.381888401,0.027285485,0.012255778,4.48E-05,0.000128564,0.591536058,0,0.015873016,0.105263158,0.205601401,3.39E-08,0.335344652,0.5,0.053213008,0,0.178031843,0.013200543,,,1,,0.9,26
30,0.147058824,0.033867343,0.640770528,0.247064241,0.043609943,0.003847881,0.008380772,0.809361562,0,0.119047619,0.526315789,0.604326221,1.18E-07,0.052408338,0,0.322856698,0,0.719917892,0.000373291,,,,,1,1
38,0.12745098,0.036821067,0.632893023,0.050612825,0.127606947,0.006974927,0.000838375,0.803604577,0,0.103174603,0.526315789,0.553097103,1.98E-05,0.062734509,0.25,0.316166174,0,0.180295706,0.00059643,,,,,More,0
39,0.147058824,0.027221933,0.616694722,0.070378343,0.06124925,0.007361347,0.000452771,0.793030524,0.058015267,0.119047619,0.473684211,0.689897756,7.95E-07,0.053424387,0.25,0.288781702,0.038704669,0.364854213,0.000167805,,,,,,
46,0.176470588,0.126097024,0.714163097,0.134603556,0.153031611,0.223528669,0.001114722,0.855346946,0,0.142857143,0.631578947,0.547015858,7.29E-06,0.04997951,0.25,0.454488875,0.001024577,0.37273697,0.000253308,,,,,,
54,0.156862745,0.084232136,0.677851967,0.152465165,0.255395408,0.078313762,0.001798364,0.832248514,0,0.126984127,0.631578947,0.583859982,1.87E-06,0.051930118,0.25,0.392251439,0,0.326777148,0.00031913,,,,,,
58,0.235294118,0.188347417,0.72959351,0.205868662,0.22347378,0.234658698,0.047504782,0.863712198,0,0.19047619,0.631578947,0.678763974,4.37E-06,0.036371133,0.25,0.491520149,0,0.37152543,0.000173319,,,,,,
60,0.009803922,0.002573568,0.347306228,0.009023425,0.009206116,9.21E-05,0.000154031,0.556477195,0,0.007936508,0.052631579,0.148754448,7.06E-06,0.494283975,0.5,0.032207873,0,0.182086496,0.028917566,,,,,,
61,0.049019608,0.010030008,0.481473915,0.051703699,0.020290823,1.38E-05,0.003381065,0.686679042,0,0.03968254,0.263157895,0.357875535,3.33E-06,0.167842942,0.25,0.113894508,0.004908378,0.182124995,0.003239532,,,,,,
62,0.088235294,0.016133972,0.543698208,0.009023425,0.016543298,0.005302572,0.000154031,0.738562399,0.078244275,0.071428571,0.368421053,0.550300646,1.91E-05,0.094819397,0.25,0.17815466,0,0.183852523,0.000533517,,,,,,
65,0.176470588,0.027934117,0.649883434,0.100998642,0.060548632,0.009218964,0.000597791,0.814249125,0.061068702,0.142857143,0.578947368,0.68068934,1.37E-06,0.044050508,0.25,0.345728956,0,0.370295342,0.000235088,,,,,,
73,0.137254902,0.03750073,0.60980675,0.06108302,0.11651773,0.026057618,0.00052249,0.787696501,0,0.111111111,0.526315789,0.634833016,2.00E-05,0.06325175,0.25,0.273222343,0.00945942,0.817469138,0.00025264,,,,,,
75,0.196078431,0.059528502,0.666057511,0.137795799,0.11691893,0.065291503,0.003074359,0.824658693,0,0.158730159,0.631578947,0.697206524,3.73E-06,0.040010592,0.5,0.371713085,0,0.19793362,0.000214186,,,,,,
76,0.137254902,0.02337686,0.580233406,0.067934402,0.106264338,0.001408948,0.000646394,0.765467491,0,0.111111111,0.421052632,0.722319664,4.37E-06,0.057084314,0.25,0.233234791,0.058258598,0.809629797,0.000153481,,,,,,
77,0.117647059,0.025014807,0.555591981,0.340786487,0.090549371,0.001262586,0.001584728,0.746504688,0.293129771,0.095238095,0.368421053,0.661213221,1.01E-05,0.074560148,0.25,0.199159795,0.025242863,0.750046057,0.000260902,,,,,,
78,0.049019608,0.016433085,0.494393556,0.055755435,0.010607578,0.000509121,0.001105081,0.698357497,0,0.03968254,0.210526316,0.495188253,0,0.157139958,0.25,0.127586743,0.090305623,0.851340537,0.000905664,,,,,,
80,0.107843137,0.019627629,0.594423573,0.079036413,0.110726007,0.005707467,0.000187298,0.776628992,0,0.087301587,0.473684211,0.520125626,5.14E-06,0.077261065,0.25,0.249883305,0,0.364649885,0.000757931,,,,,,
81,0.156862745,0.030190297,0.637707457,0.09465063,0.083613589,0.009361749,0.00264172,0.807552224,0,0.126984127,0.526315789,0.706802538,3.38E-07,0.049408495,0.25,0.32379026,0.005377976,0.183814278,0.000128255,,,,,,
83,0.215686275,0.054711193,0.646249899,0.140982749,0.09379348,0.00707103,0.016235599,0.811217896,0,0.174603175,0.578947368,0.750884008,2.31E-07,0.041933816,0.25,0.343083865,0.029221005,0.73585834,0.000160425,,,,,,
84,0.12745098,0.051047666,0.643638598,0.080768776,0.133475587,0.057387107,0.00312722,0.811875837,0.12519084,0.103174603,0.578947368,0.558697305,1.67E-05,0.067250782,0.25,0.330480784,0.00100086,0.711510064,0.000339655,,,,,,
87,0.166666667,0.032829172,0.642647854,0.23932961,0.155296775,0.004148699,0.005409229,0.81027798,0,0.134920635,0.526315789,0.673276425,4.32E-06,0.045923192,0.25,0.327835693,0,0.182589057,0.000271067,,,,,,
88,0.117647059,0.031032762,0.582432906,0.096747051,0.0831619,0.004189235,0.000221626,0.767535306,0,0.095238095,0.368421053,0.633765817,1.11E-05,0.074647273,0.25,0.231212074,0,0.18460266,0.000272422,,,,,,
89,0.18627451,0.118829201,0.727658047,0.159913105,0.353447034,0.033626728,0.044217026,0.864675612,0,0.150793651,0.631578947,0.63702078,1.83E-05,0.044574112,0.25,0.494476428,0.00043534,0.560036238,0.000153289,,,,,,
90,0.235294118,0.194473997,0.761710329,0.257497607,0.42343353,0.257427342,0.041922007,0.882698498,0,0.19047619,0.736842105,0.640047785,1.15E-05,0.033420812,0.25,0.555469115,0.198425398,0.902125402,0.000153536,,,,,,
91,0.156862745,0.03701471,0.647050488,0.109964276,0.216849644,0.005355071,0.007362447,0.813708673,0,0.126984127,0.526315789,0.648788675,1.96E-05,0.050595697,0.25,0.342150303,0.06294878,0.791920105,0.000334329,,,,,,
92,0.254901961,0.123948932,0.713070614,0.299992129,0.255005506,0.004030576,0.06789425,0.853749089,0,0.214285714,0.684210526,0.738107174,2.83E-06,0.033222786,0.25,0.46989264,0,0.189488492,9.42E-05,,,,,,
93,0.215686275,0.059362029,0.695808899,0.154473501,0.163553442,0.009118731,0.011007993,0.844443922,0,0.174603175,0.578947368,0.707858307,3.28E-06,0.036525272,0.25,0.437062393,0,0.189488492,0.000189939,,,,,,
94,0.225490196,0.109741893,0.705527395,0.249328072,0.258625488,0.004772864,0.046534146,0.850788354,0,0.182539683,0.631578947,0.724236544,2.18E-07,0.035130442,0,0.455422437,0.033519591,0.81727298,0.000166871,,,,,,
96,0.098039216,0.014355005,0.544570257,0.016344877,0.031002586,0.005177376,0.000975164,0.739948775,0,0.079365079,0.210526316,0.70927742,3.42E-06,0.080516317,0.25,0.183289248,0,0.189488492,0.000262806,,,,,,
97,0.235294118,0.039965072,0.647324214,0.093818832,0.105948133,0.007640151,0.004970504,0.811429377,0,0.19047619,0.526315789,0.827561705,2.23E-06,0.031307437,0,0.342305897,1.05E-06,0.356251429,6.69E-05,,,,,,
99,0.441176471,0.083096435,0.820837639,0.532206973,0.317446688,0.01058128,0.00789674,0.914796626,0.052671756,0.428571429,0.736842105,0.857919525,1.60E-06,0.012037466,0.25,0.676365334,5.27E-06,0.657287481,3.68E-05,,,,,,
101,0.117647059,0.0232197,0.61344513,0.059762697,0.112756842,0.001475869,0.001196901,0.790234274,0,0.095238095,0.526315789,0.556558508,1.06E-05,0.066809976,0.25,0.275867434,0.000863828,0.378559853,0.000500281,,,,,,
106,0.245098039,0.259889648,0.736555364,0.231285892,0.230411005,0.275176914,0.102533305,0.868223794,0,0.198412698,0.684210526,0.643880707,4.10E-06,0.042968892,0.25,0.507079508,0.019558146,0.768275849,0.000223639,,,,,,
107,0.166666667,0.055703153,0.631938614,0.11611688,0.097097074,0.001962309,0.031891076,0.803181615,0,0.134920635,0.526315789,0.70963936,2.33E-07,0.050925887,0.25,0.317410923,0.026653238,0.804583254,0.000166903,,,,,,
108,0.039215686,0.027801131,0.504084195,0.087725085,0.003708052,0.000255833,0.000294331,0.706393778,0,0.031746032,0.210526316,0.281683891,0,0.190854359,0.25,0.134277268,0,0.722131784,0.00516409,,,,,,
109,0.12745098,0.023852756,0.597992916,0.042559581,0.029636593,0.004293923,0.000571973,0.779190262,0,0.103174603,0.473684211,0.632651445,1.20E-05,0.064531596,0.25,0.261552824,0,0.382143868,0.00043462,,,,,,
111,0.009803922,0.004332423,0.375244481,0.012492361,8.55E-06,0.000577927,3.17E-05,0.58681298,0,0.007936508,0.052631579,0.148754448,0,0.494283975,0.5,0.046678077,0.04863474,0.78914898,0.028917566,,,,,,
112,0.107843137,0.02235811,0.574549346,0.02821943,0.087259431,0.002637847,0.000106066,0.761707827,0,0.087301587,0.421052632,0.620419226,1.30E-05,0.074235691,0.25,0.22669986,0.02813002,0.370616601,0.000316081,,,,,,
113,0.098039216,0.013928619,0.508147698,0.033961766,0.023092106,0.001178074,0.000104885,0.708179618,0,0.079365079,0.263157895,0.714656364,2.69E-06,0.081888681,0.25,0.147191536,0.051604117,0.922535,0.000274835,,,,,,
