"","x"
"0",0.000347289935328754
"1",6.25810660067421e-06
"2",2.27006454161466e-06
"3",6.87572332974477e-06
"4",2.27351469364763e-06
"5",1.23263666680405e-05
"6",2.20713107714688e-06
"7",0.000269082513663579
"8",2.23381280494947e-06
"9",2.30929119632632e-05
"10",8.00496021506009e-06
"13",1.14765610435435e-05
"14",2.3426722892476e-06
"16",2.67109045397244e-06
"17",2.31431926140786e-06
"19",2.35218937443424e-06
"20",2.34099926733102e-06
"21",0.000271987904510355
"22",1.07897198588083e-05
"23",2.3654701360478e-06
"24",2.53231228283618e-06
"25",2.18069041714208e-05
"26",2.43364652416817e-05
"27",3.96593586490523e-06
"28",2.31323381262353e-06
"29",2.99443938551958e-06
"30",1.00125304135179e-05
"31",1.51441806614465e-05
"32",2.208874148955e-06
"33",2.15208186839579e-06
"34",4.2313431782862e-05
"35",2.1529477950721e-06
"36",2.39796202266671e-06
"38",7.49403307718781e-06
"39",5.02634070252247e-06
"40",1.86086515821826e-05
"41",2.46812738810437e-06
"44",2.21281298077442e-06
"45",8.02519374702239e-06
"46",2.19653928401401e-06
"47",2.16202265894111e-06
"48",4.98258952334093e-06
"49",2.17884792059104e-06
"50",4.6034765040168e-06
"51",2.43920519312169e-06
"52",2.15233816563801e-06
"53",9.67704576013095e-06
"54",2.58926846425598e-06
"55",1.03814444096811e-05
"56",0.000276176309759968
"57",4.33886020981012e-06
"58",0.00617400030255542
"59",5.3542282713607e-06
"60",7.67262533229604e-06
"61",2.16690464739163e-06
"62",1.08975051805258e-05
"63",4.25180777123374e-06
"64",2.70398639871225e-06
"65",6.268246519983e-06
"66",1.32639822881411e-05
"67",0.000279400980771084
"68",2.25253805881605e-06
"69",6.21619019481272e-06
"70",2.1526881037981e-06
"71",2.16673368186504e-06
"72",7.58906423594183e-06
"73",2.5764436908051e-06
"75",9.86573496552378e-06
"76",2.28809058673869e-06
"77",2.47087156913045e-06
"78",2.25012142519689e-06
"79",5.20810070477541e-06
"80",6.02769810444443e-06
"81",2.40084405196992e-06
"82",9.29300656989585e-06
"83",2.43920519311745e-06
"84",4.57846268224172e-06
"85",6.44135266297634e-06
"86",2.21076318921061e-06
"87",0.000265616620158027
"88",8.08271040935331e-06
"89",2.2348719559286e-06
"90",2.15216350013464e-06
"91",2.23381280494481e-06
"92",2.66569054529779e-06
"93",2.23821475773066e-06
"94",4.44698174535624e-06
"95",2.20696673123818e-06
"96",4.23033693791129e-06
"97",2.16602464928466e-06
"98",1.9441209087659e-05
"99",2.30802653197107e-06
"100",2.74556347209511e-06
"101",2.590008890347e-06
"102",2.21042062785571e-06
"103",0.000262910470339579
"104",1.49527223627005e-05
"105",6.63931655239309e-06
"106",4.15531942233128e-06
"107",0.00175321208682418
"108",4.20054509597776e-06
"109",1.99839504153005e-05
"110",2.19360925701626e-06
"111",2.32536353675146e-06
"112",2.16674007032876e-06
"113",1.56467074761723e-05
"115",2.42591053382046e-06
"116",2.37083125969226e-06
"117",4.04724963641694e-06
"118",1.31279310640027e-05
"119",2.14797388617674e-05
"120",0.000253695830809522
"121",7.69536381165836e-06
"122",0.000275229702232653
"123",8.67215159058178e-06
"124",2.28513220197233e-06
"125",0.000255281975362813
"126",4.04429899719709e-06
"127",4.23529118456519e-06
"128",1.60849337338682e-05
"129",5.72409822986092e-06
"130",6.30411135150426e-06
"131",2.2235012870331e-06
"132",6.60094073686775e-06
"133",6.94659119250304e-06
"134",1.04535993467394e-05
"135",2.37225079211157e-06
"136",0.0408126340669529
"137",2.35274357269165e-06
"139",2.3704886776435e-06
"140",2.28571903457485e-06
"141",1.11035716055884e-05
"142",2.09201623396584e-05
