"","x"
"0",1.83710061432645e-06
"1",5.54870906509246e-07
"2",2.27376597036373e-06
"3",2.35670636145748e-06
"4",8.95414671011219e-07
"5",1.73772816370789e-06
"6",2.28494132270683e-06
"7",1.7367231854282e-06
"8",2.15824232744853e-06
"9",2.15885269932147e-06
"10",2.32922148101219e-06
"11",2.19712615898405e-06
"1590",6.80282289939033e-07
"13",6.59268791797641e-07
"14",2.20605916209461e-06
"15",1.74883571262432e-06
"16",2.2535769900775e-06
"17",2.73828486432209e-07
"18",9.94366911446655e-07
"19",1.91120904995709e-06
"20",2.3310349328895e-06
"21",2.16021913262881e-06
"22",1.83815419907945e-06
"23",1.73697658381867e-06
"24",2.24405437792569e-06
"25",2.25792248552107e-06
"26",1.90855720709373e-06
"27",2.2354961012948e-06
"28",1.73689210947284e-06
"29",2.32388441928452e-06
"30",2.16710550553154e-06
"31",1.8815949904415e-06
"32",1.98120627725397e-06
"33",1.84856551316179e-06
"34",1.1591111935368e-06
"35",2.31653612985575e-06
"1595",2.90698942001201e-07
"37",2.22472874994716e-06
"38",1.86652829470242e-06
"39",4.32189471864465e-07
"40",2.25334847583509e-06
"41",9.24384429298919e-07
"42",4.51966778633903e-07
"43",1.98090408462422e-06
"44",1.2623138718196e-06
"45",2.24592925322852e-06
"46",1.80755013692192e-06
"47",1.73728136314045e-06
"636",2.16015380295077e-06
"49",1.73632513729991e-06
"50",1.74363963850863e-06
"51",1.75508491978384e-06
"258",6.91165727026861e-07
"54",1.76093850978818e-06
"55",1.27183583143088e-06
"56",2.15974324972247e-06
"57",2.20746166190959e-06
"58",1.74290723899093e-06
"59",1.86236386120175e-06
"60",2.15854048126819e-06
"61",1.38013461833067e-06
"62",2.19836265949121e-06
"63",1.97776204358196e-06
"64",1.36886917717274e-06
"65",1.86807295198492e-06
"1623",1.75513112584641e-06
"66",1.86002217146428e-06
"67",2.15581823003012e-06
"68",1.36465116786847e-06
"69",1.85880516004312e-06
"70",1.39449203535874e-06
"71",1.73701278962517e-06
"72",1.73648192235495e-06
"73",1.73695848148142e-06
"74",1.38695678103975e-06
"75",9.95942530132241e-07
"76",1.94461729931549e-06
"77",1.73744435834442e-06
"78",1.8552738013076e-06
"79",1.73722703820162e-06
"80",1.73708218830666e-06
"82",1.83316040520178e-06
"83",1.73708520576643e-06
"991",1.7369433964886e-06
"85",1.09649002577848e-06
"86",1.86863845396329e-06
"87",1.83441808589479e-06
"88",1.96250439110357e-06
"89",6.80384580580327e-07
"90",8.03323187361477e-07
"91",7.38524074407778e-07
"92",1.83335869479528e-06
"1880",4.34335054747934e-07
"93",9.8756068560413e-07
"94",1.94433372544063e-06
"95",1.36208049623317e-06
"97",1.08942430462047e-06
"98",1.41588108864265e-06
"99",9.93918214445806e-07
"100",9.87469018159555e-07
"101",1.35824720914155e-06
"102",1.82950144256189e-06
"103",1.85645172668575e-06
"104",1.76737149441864e-06
"105",1.73729645400421e-06
"106",1.803699748925e-06
"107",8.58863774757822e-07
"108",5.2965793101841e-07
"109",1.20001344015053e-06
"110",1.35868457594096e-06
"111",1.73738096768645e-06
"1865",1.36537038402407e-06
"1391",4.34657880782036e-07
"112",1.16658208946518e-06
"113",1.20276588041861e-06
"114",9.14265652685107e-07
"115",1.17810191288408e-06
"116",1.75608659614223e-06
"1905",1.73664175164634e-06
"117",1.73773420312723e-06
"118",6.76676058930365e-07
"119",1.83127376077705e-06
"120",1.28467663404444e-06
"121",4.35405427764063e-07
"122",1.78244540815326e-06
"123",8.95583875907898e-07
"124",1.74945985426999e-06
"125",3.77839130456139e-07
"126",1.73818727925022e-06
"127",1.7354121256716e-06
"128",9.86593185206233e-07
"130",3.67608000473479e-07
"131",1.09165061940256e-06
"132",1.19859524637125e-06
"133",1.25304332898527e-06
"134",1.203058173878e-06
"135",1.35469782110402e-06
"136",8.48025372919158e-07
"137",3.25156302634677e-07
"138",6.16270907760884e-07
"139",1.35599471704458e-06
"140",8.47727750537459e-07
"141",1.41404714433179e-06
"142",1.17806166445976e-06
"143",7.97593818966941e-07
"1615",1.08998240768394e-06
"146",9.82464965299337e-07
"148",1.37333208817891e-06
"149",1.09366233612837e-06
"150",1.38365597884667e-06
"151",6.59306172556249e-07
"986",1.38744748511269e-06
"153",1.17268901108308e-06
"154",5.30130496923123e-07
"155",1.17284167810187e-06
"156",6.86357343714717e-07
"158",1.24809509486147e-06
"159",8.00090890325141e-07
"160",1.16225011622501e-06
"161",1.23714452198591e-06
"162",1.1252416456434e-06
"163",1.36265587079842e-06
"164",1.26851878866604e-06
"165",8.27450162676702e-07
"166",5.65043578986029e-07
"1064",4.70867210267165e-07
"168",5.74836861298763e-07
"169",7.37819521966732e-07
"170",1.16491870614809e-06
"171",2.95763046477684e-07
"172",3.25175123062525e-07
"173",1.37320950645477e-06
"174",1.17520551406427e-06
"175",1.0897092219912e-06
"1115",1.36252776150314e-06
"1129",1.16942651323791e-06
"178",4.12775568969844e-07
"179",1.35485383159438e-06
"1834",1.23533808114936e-06
"181",1.14791847942127e-06
"182",1.12043939151178e-06
"183",1.18052882969455e-06
"184",7.9757028189324e-07
"185",4.55906542805977e-07
"186",6.77658743254754e-07
"187",6.58936463369393e-07
"188",1.35304997760702e-06
"189",5.19094367203203e-07
"190",9.65606077138407e-07
"191",1.08960354774915e-06
"192",1.09008340228111e-06
"193",1.08989687395779e-06
"194",1.09189735728083e-06
"195",1.23416870098808e-06
"197",1.14480920609771e-06
"198",1.16760366861073e-06
"199",9.94075311145572e-07
"200",5.19093828285838e-07
"201",1.24319506103466e-06
"202",1.19643271621334e-06
"203",9.24258836838739e-07
"1466",1.18901115886973e-06
"204",1.09209053430529e-06
"205",1.16785456940618e-06
"206",1.15971341162172e-06
"207",1.19467747292264e-06
"208",9.86060068807271e-07
"1181",1.0897234717718e-06
"210",8.5616365054482e-07
"211",1.18888393520583e-06
"1012",1.20880249980357e-06
"213",1.08957980354876e-06
"341",1.17873653588192e-06
"215",1.0900204269828e-06
"216",1.1760416789171e-06
"217",1.16744691035175e-06
"218",4.34334300161485e-07
"219",9.17455602029779e-07
"220",1.18611861660614e-06
"221",1.08957624200796e-06
"222",1.16260684356892e-06
"223",9.94416352182495e-07
"224",9.8510812054177e-07
"225",1.15981967123752e-06
"226",7.37960542725701e-07
"492",1.16000129920145e-06
"228",4.22662307609401e-07
"229",1.09233031194769e-06
"230",1.16015068037037e-06
"1740",7.987852074565e-07
"231",9.79166279080015e-07
"232",3.67829486020824e-07
"233",4.98389454477855e-07
"234",1.15993536840127e-06
"235",1.18327371605927e-06
"236",7.97623083212028e-07
"237",9.06223124820455e-07
"238",1.09009647353791e-06
"239",1.08961779476613e-06
"240",8.47867908962727e-07
"241",9.96177666294428e-07
"242",1.08996577507466e-06
"243",1.16020182871012e-06
"668",9.94103969357739e-07
"1017",1.15990442387547e-06
"246",1.12039419949515e-06
"247",6.2870622318568e-07
"248",1.09010716843573e-06
"249",1.19470173673791e-06
"1843",1.18610595484495e-06
"250",8.5766309106924e-07
"251",3.91139440036955e-07
"252",7.97637079914461e-07
"253",6.76677432604619e-07
"1019",8.6576638506172e-07
"255",6.59290958945293e-07
"257",1.09013212401343e-06
"53",6.0196976546656e-07
"259",8.84714608761506e-07
"260",1.16553648478858e-06
"261",9.72744667170548e-07
"262",8.15141414808348e-07
"263",7.97577915386554e-07
"264",1.09489091054413e-06
"266",5.24833273589812e-07
"267",1.17891579829694e-06
"268",1.08943142573891e-06
"269",7.37919156528887e-07
"354",3.89421595997681e-07
"655",3.40809907480334e-07
"272",3.56856352471302e-07
"273",1.0895809907342e-06
"274",1.10408666638696e-06
"1636",1.16039569493197e-06
"276",2.73828486432209e-07
"277",1.15986675450724e-06
"278",1.09239355444107e-06
"279",1.08946228499462e-06
"280",8.82176505875295e-07
"281",7.9753275267632e-07
"282",1.08998834802456e-06
"283",1.12025237045402e-06
"284",1.09207622255203e-06
"285",8.85023891219943e-07
"286",3.10314031593692e-07
"287",1.15846396945362e-06
"289",9.37925290498911e-07
"290",1.08885610222181e-06
"291",9.08440960876173e-07
"292",6.83773307267895e-07
"293",6.88513190191441e-07
"295",8.42702073636993e-07
"296",3.40809907480334e-07
"297",8.96012386475231e-07
"298",8.81061926318553e-07
"299",9.34416134750282e-07
"300",8.17728350641917e-07
"301",6.76735589930716e-07
"1024",7.44078068670965e-07
"304",6.98135350292903e-07
"305",9.93305123467827e-07
"306",9.27958843169388e-07
"308",8.85316930181251e-07
"360",4.59503286137751e-07
"310",9.2451432950985e-07
"311",8.50889306959168e-07
"312",3.58266791247972e-07
"313",8.95974654668969e-07
"314",3.80053861233214e-07
"315",9.36441820742561e-07
"316",7.9759254665717e-07
"317",8.94478384929828e-07
"318",9.23109586954615e-07
"319",8.55151819378253e-07
"321",6.46419096771525e-07
"322",8.8514139691245e-07
"323",8.56596348672404e-07
"324",9.21151291730456e-07
"325",7.98873907340213e-07
"326",6.76867053157754e-07
"327",8.48163471634869e-07
"328",8.20842167647163e-07
"329",5.8197529398482e-07
"330",6.28878213331841e-07
"331",7.9760463376388e-07
"332",9.19579972651692e-07
