"","x"
"0",0
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"1590",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",18.1783657781087
"20",0
"21",0
"22",0
"23",0
"24",45.694371611559
"25",0
"26",943.478011597807
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",2325.05431594002
"1595",0
"37",70.2806254719517
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",1396.53480214304
"46",0
"47",0
"636",275.265984409968
"49",0
"50",12.7413058664685
"51",0
"258",52.2940476746093
"54",0
"55",0
"56",51.8967122526008
"57",137.551858638914
"58",0
"59",246.514767840034
"60",0
"61",77.2609877940778
"62",380.267995765072
"63",607.662024445918
"64",0
"65",0
"1623",0
"66",0
"67",7225.59487437822
"68",8.32297707005236
"69",0
"70",103.369013128301
"71",4.0167302164496
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0
"78",504.045700116545
"79",2.55905159723893
"80",0
"82",0
"83",0
"991",0.321942407130958
"85",27.7418121365179
"86",292.157197521594
"87",54.2749348286548
"88",39.6025570269382
"89",0
"90",0
"91",0
"92",726.160077616033
"1880",0
"93",0
"94",1431.98307994128
"95",385.004499870482
"97",0
"98",0
"99",2.75762915548852
"100",0
"101",68.5791425746919
"102",798.651273854353
"103",3718.7521045164
"104",544.072639197189
"105",0
"106",1655.78019306096
"107",21.9569062930467
"108",29.588632613457
"109",312.748975825887
"110",261.872161348839
"111",0
"1865",52.3045648131552
"1391",0
"112",0
"113",121.281387652278
"114",19.4323490050857
"115",3.71447951488296
"116",438.212368980185
"1905",0
"117",2.21466958399693
"118",0
"119",1380.33247827014
"120",95.29787652101
"121",1.77724622413813
"122",1347.5789293422
"123",0
"124",63.3896509990927
"125",0
"126",1626.6687520983
"127",37735.8490076634
"128",7.68753728128811
"130",0
"131",39.4596864350093
"132",12.3378243498302
"133",359.512872943318
"134",165.268277679148
"135",0
"136",0
"137",0
"138",0
"139",756.053120066113
"140",0.166666666666667
"141",472.474854762241
"142",65.3755495381014
"143",0
"1615",11.5827931837543
"146",165.953117611714
"148",517.514663444024
"149",74.7417137669681
"150",440.005675046626
"151",8.68457472709749
"986",405.502554223207
"153",186.027112207061
"154",20.4938488897991
"155",49.6727726893876
"156",0
"158",797.87962254341
"159",13.8090650356726
"160",83.006993006993
"161",365.621237797576
"162",410.682549276458
"163",162.23195116501
"164",76.5214764641208
"165",2.96369225739935
"166",0
"1064",3.0952380952381
"168",0
"169",0
"170",14.9007392149362
"171",0
"172",0.00699300699300699
"173",331.781661312181
"174",193.964323162618
"175",136.336347929454
"1115",463.830899697031
"1129",2.29851598982127
"178",0
"179",8.92256318094054
"1834",0
"181",0
"182",18.0690571650097
"183",0
"184",0.00699300699300699
"185",2.44326354688948
"186",21.0222959837022
"187",0
"188",6293.74412162463
"189",0.898680883429408
"190",183.893991772352
"191",18.7398587474987
"192",54.3800416720029
"193",51.4411545435327
"194",85.5222586840678
"195",4253.96358860317
"197",3798.86689036422
"198",435.148030486509
"199",65.9997011048273
"200",0
"201",256.446609661301
"202",475.051597751807
"203",0
"1466",104.692829124044
"204",334.859573500105
"205",445.163046266251
"206",0
"207",1602.98403549162
"208",288.452143450493
"1181",13.5286573647587
"210",10.169798523333
"211",110.554203172647
"1012",422.691269962272
"213",2.96585674364128
"341",2005.19481894341
"215",76.5547421718864
"216",302.214854030631
"217",67.5666491715356
"218",0
"219",123.251322670172
"220",10.3958400529023
"221",4.3512111913885
"222",212.440961874009
"223",0.748772342945275
"224",2346.10201496562
"225",21.1130175223557
"226",614.054464144825
"492",69.3613782434609
"228",0
"229",1049.22201017132
"230",0.0872156409076623
"1740",148.189155064174
"231",1086.38883232947
"232",3.03337725076856
"233",0
"234",3.66056040717306
"235",486.498024874078
"236",10.1328889003967
"237",276.732327476953
"238",13.359544974089
"239",0.23889444238495
"240",3.84346653063283
"241",146.126900127158
"242",12.8238468113128
"243",35.5790039582445
"668",0
"1017",1.34900947116572
"246",29.6900676511822
"247",0
"248",13.0540491194508
"249",493.274439939625
"1843",400.392747084134
"250",716.674532190328
"251",0
"252",2.85724261926277
"253",0
