"","x"
"0",81401.3849285955
"1",56226.5083122794
"3",155884.835366251
"8",15846.8108613621
"10",58736.4751515308
"12",18128.0210517819
"14",34174.0361466871
"17",66722.812471814
"19",39825.8156520997
"20",39185.6052960889
"21",32652.2864572444
"23",34170.0541150512
"25",103301.06365067
"26",146821.844802326
"29",8626.82435229121
"30",30696.9751716371
"38",89822.3434854479
"39",43113.2577781462
"46",107718.727686672
"54",179772.455046442
"58",157302.867761184
"60",6480.17188950188
"61",14282.6803798442
"62",11644.8031402669
"65",42620.0937607493
"73",82016.6598316957
"75",82299.0642660695
"76",74799.3122256465
"77",63737.5698349385
"78",7466.65838607128
"80",77939.8745911215
"81",58855.4833145423
"83",66021.0936211506
"84",93953.2709490977
"87",109313.173103475
"88",58537.5402276805
"89",248790.851511269
"90",298054.243958079
"91",152640.147892269
"92",179498.003744615
"93",115125.028886642
"94",182046.103858481
"96",21822.6749496043
"97",74576.7362584073
"99",223450.260480418
"101",79369.3766546039
"106",162185.970239623
"107",68346.4889158574
"108",2610.09256876802
"109",20861.1542328008
"111",6.01944444444444
"112",61421.7862412699
"113",16254.4994748338
"115",36544.1920140975
"116",1369.47961585528
"118",159437.271832678
"119",2046.71481321164
"120",127971.386801192
"121",273133.879322915
"122",6197.28024452755
"123",58730.4811679019
"124",127929.056271808
"125",152394.256294387
"126",6377.29572552676
"127",160604.035883388
"128",143970.190246477
"129",342491.674901809
"130",230167.702469343
"131",200657.539284874
"132",164182.796679267
"133",319063.344918963
"136",61705.3886408345
"137",151114.777387831
"141",92191.9728334973
"144",27413.0258153498
"147",212254.503579989
"148",454026.846781573
"150",57048.702656861
"153",34000.0887047692
"154",75496.4134577265
"157",138278.876984242
"158",30802.9644542631
"162",136188.328381032
"165",507760.029687907
"166",42588.0055297933
"167",299178.5367341
"168",108581.171650353
"170",254045.513950445
"171",389752.761584398
"175",32398.5217719558
"176",102191.81473341
"177",71.6082634470793
"180",110858.807658518
"181",26410.4952523952
"183",6888.47804979685
"184",59826.3619731618
"185",101552.829047619
"187",156272.318878456
"189",138093.072530559
"190",337731.439636262
"192",162896.42568383
"193",482.439692511239
"194",11084.3650561916
"195",70262.1134558829
"198",126111.880430772
"200",194797.402228493
"201",20381.8651652396
"206",43699.2084024619
"207",30576.3515154609
"213",119997.060458878
"218",31230.1392509469
"220",119100.123151031
"221",931.949026463735
"223",373652.967664994
"227",21506.3863940916
"229",18540.2750713511
"231",20823.7852328095
"234",28212.6449344874
"235",31147.6388552133
"236",78076.614248121
"237",132017.650935866
"238",138559.683245936
"239",153041.488697334
"240",68740.1999095998
"242",37548.7875083427
"244",111707.488575168
"247",9251.09520887614
"248",85180.8086402418
"251",64845.4968914459
"252",100508.769046565
"253",29628.0562503331
"254",67860.0666893401
"255",28570.3520774834
"256",61015.8106873419
"260",136793.179065143
"261",455917.532947705
"262",55145.4026624307
"263",473714.994635594
"264",120986.935581928
"265",130895.85618892
"266",128872.03832422
"267",150458.347842179
"268",139257.412061562
"270",105608.052221943
"272",76807.86671033
"273",78504.8195107042
"275",54015.2302168005
"276",22955.3716432411
"277",90967.0134614343
"280",43650.3367456915
"281",98084.6860707085
"282",2719.23585464243
"285",40185.6590642558
"286",154954.013476995
"287",27391.9239932372
"289",161120.623877477
"292",101033.47945092
"295",38636.3329713846
"299",11224.1843708269
"300",55223.1236613158
"301",65173.861447678
"304",79859.1200012706
"305",66585.3283173731
"306",5033.13552052952
"308",96089.7500811957
"311",17586.2507527225
"314",172585.754361576
"315",104067.705308029
"316",58435.0980184148
"317",52900.2356123144
"318",43179.376368333
"327",67975.1024667868
"328",177993.061717025
"331",115113.633881587
"333",369.757568947257
"335",129662.148670221
"336",190.745866633367
"340",6868.53598324241
"343",87064.4628123742
"344",171069.007177052
"345",239341.562782236
"346",277598.246913501
"347",218406.276037138
"348",391881.767281944
"349",56284.8629408208
"351",4352
"352",10045.7290581543
"354",107250.000805339
"355",59644.1732260085
"356",136984.368828518
"358",72676.5405545548
"360",97137.291120181
"369",86510.5542790368
"375",249568.218592608
"381",85868.4329444709
"385",156008.498517886
"386",45647.0410077558
"387",13383.0406106056
"390",269816.529946822
"391",138.641318403818
"397",199102.793077943
"405",208884.104777768
"407",248640.641826482
"408",533401.540306699
"409",160526.750506226
"410",699140.244221809
"411",122635.346144493
"412",330947.979400669
"413",62993.5498433963
"415",252.97387169504
"421",52955.3219103039
"423",19547.3496298137
"424",96093.2066639892
"426",46266.3655054461
"427",46209.3857527112
"428",55743.6913188393
"429",218805.079921107
"430",162026.303983421
"433",117552.633224915
"438",28340.0434100939
"439",15114.0238838428
"442",1388.80950747739
"445",71776.2692808585
"446",64375.0228421092
"447",186417.783251079
"448",88643.122070229
"453",642416.617152299
"458",137959.791221249
"463",115637.653847055
"464",35339.3969895542
"465",1086.83445091014
"467",117239.797708749
"468",151809.381654107
"472",5576.20008501447
"473",73666.0460606935
"474",82709.9419750218
"475",76516.0655668332
"476",67358.0402358266
"480",45227.2987050512
"483",46095.7391105625
"484",44015.8674757929
"485",40358.7359291921
"486",122682.477110126
"487",316081.273040808
"489",61572.298908898
"493",101946.821374751
"495",191121.290762762
"496",45748.7040404142
"498",81816.6523637971
"501",128.557717227335
"504",29630.7313874813
"506",50117.4100790931
"507",27630.6217893806
"510",43840.8735309948
"511",3753.59703397869
"512",98480.9334928208
"515",102451.654061009
"516",56445.6634105895
"519",18953.3155113292
"524",75480.0298446856
"526",101792.471051097
"527",49251.5080871037
"528",18590.7923587332
"531",420045.509925081
"533",99264.7770457657
"535",61763.3793515084
"536",29098.0400372731
"543",101074.524997982
"545",84510.2467499973
"547",352676.350767635
"549",13047.9932375003
"550",81070.2272205812
"556",31934.3856352226
"557",6100.44256758989
"558",107304.156893662
"562",112505.755055515
"563",41639.0298908733
"565",179762.410847232
"566",215374.077804314
"567",220406.863504372
"568",224908.130066785
"569",120576.680345725
"570",178353.574935724
"571",20528.313314763
"574",176736.390848271
"575",20392.6059271829
"576",89723.6019264411
"577",67937.0515065033
"580",58541.8875583034
"581",57072.5447230325
"582",78203.9637055327
"586",38351.2333166857
"590",214087.091602263
"591",196891.265611899
"592",157990.350418308
"593",2733.03378549984
"595",176022.274989345
"596",220028.697645672
"597",53930.7609442271
"599",160.337948155664
"601",29811.1404145845
"603",41947.3888382701
"604",23543.4705994404
"605",26082.0346452766
"610",187021.324753352
"611",135685.178402584
"615",252356.905877784
"617",130555.065789584
"620",96782.1081843297
"621",82326.2789070836
"628",324951.569396949
"630",125728.860488481
"631",253045.74051628
"632",30446.5452977837
"633",299696.815748344
"636",1881.26083529474
"637",129785.873402164
"638",136963.252818652
"639",136810.466579785
"641",4353
"642",60848.41303617
"645",5317.1677975162
"647",126434.552345505
"648",62886.3956251944
"649",99969.749432874
"650",77911.8726531074
"654",41496.7540267739
"656",358.620335220335
"657",31343.6924506869
"660",176321.102608082
"661",161692.997990404
"664",71759.8824462463
"666",31772.2935132627
"668",39303.4947202434
"669",176214.029229888
"670",301.642065975554
"671",42003.4726378084
"673",22177.784037322
"674",210468.748304319
"675",63857.567026774
"676",9291.74234853883
"678",105789.658624469
"683",75820.09180625
"684",56072.6969192233
"685",33648.5571397483
"688",142171.716917657
"691",87181.8914913214
"692",131751.822999467
"693",427044.679043716
"695",2077.73523673028
"696",689541.621827599
"697",41895.8024202073
"698",202094.53196193
"699",443635.523861937
"702",232039.786982568
"703",93201.0632024136
"704",13623.1791987577
"705",43269.452288717
"706",34901.7542696915
"707",2267.19196427143
"708",13842.4197641273
"709",113651.38339967
"713",49243.1535713563
"714",142616.951039303
"716",58272.9527089827
"717",245077.73094243
"719",59935.6426225083
"721",86664.4488624586
"722",98188.4786393423
"723",67154.366010084
"726",43794.8721831051
"727",156458.227924818
"728",47047.4938196224
"729",59235.3338305223
"734",1240.82943194061
"738",2354.30802658052
"740",24308.0113904239
"744",28159.2342822081
"745",4986.45001846989
"747",2583.70486180486
"748",10408.3605125215
"750",106126.070396316
"753",336769.918360193
"754",75137.3587365218
"756",73207.2215756592
"758",30479.0346549548
"760",8258.198535093
"761",117110.603919356
"762",208708.758294847
"763",258041.52882518
"765",166223.909389446
"766",122503.76209936
"768",54706.1441756049
"774",56043.6421628095
"776",70769.5743396167
"781",84439.3826244429
"786",52863.2144673087
"788",33451.3289094301
"789",111796.777315967
"790",138028.77832347
"791",150393.243690259
"792",78600.8072448299
"794",187414.855139153
"798",37621.3244662698
"807",9388.92580990098
"811",69064.3696866808
"816",6973.9066071273
"820",59456.6517492811
"821",11865.561915658
"822",61881.888332419
"823",85639.1473785998
"825",30848.4652703571
"826",175719.352313953
"827",54740.6355001754
"829",76489.2292560213
"830",26037.3715800709
"831",16546.7319025003
"832",141906.625563266
"835",101405.733340578
"837",55823.2675216737
"838",178160.161880376
"839",39076.3474154383
"840",67930.1801511788
"841",201618.514974402
"842",101676.713154299
"844",32060.3693556459
"846",125887.427854413
"847",81207.6069288944
"849",29639.3921525957
"850",161201.877529524
"851",151673.099686888
"853",107184.040410727
"855",139284.800160749
"856",92955.1901332965
"857",18508.3425411453
"858",22306.2776860146
"859",41950.0191355302
"862",21702.3713426554
"864",34915.5458079041
"865",40281.8445847125
"866",125086.113407979
"867",404838.008000624
"868",5681.93272241061
"870",202174.626974875
"871",103534.847500259
"882",26737.4939291901
"886",52240.8832937395
"889",649883.34054115
"890",13550.1122699403
"891",23254.0311250908
"892",29563.6248232485
"893",106161.062275587
"894",4352
"896",42466.2511308459
"897",92812.9091667464
"898",1337.26303170476
"901",132897.67377033
"902",29125.8653644003
"904",62914.9783610483
"906",21341.8841333156
"911",74263.8783436112
"912",76808.8723696971
"916",43108.0845632384
"920",124608.465247207
"922",120141.527752576
"923",154484.493232545
"924",13225.1252415355
"925",72065.394767171
"927",54035.6854556383
"928",68794.3585600301
"930",40261.5888347342
"931",59960.1189702427
"932",42195.1707589917
"934",121800.463677242
"935",188975.706151537
"936",10934.0120437846
"937",5828.74014788579
"938",92855.7094278093
"941",81797.2731319607
"943",18879.5010193123
"945",145667.682238887
"946",259495.62170144
"948",404.08375387643
"952",144819.253431306
"954",19676.0804076971
"955",63470.227985823
"956",105025.516727265
"958",64391.5015836694
"959",4352
"961",312157.305340442
"963",104926.068957047
"967",51317.3355459392
"968",20189.187075266
"971",96939.5471358296
"972",36239.8731669684
"977",119355.623238767
"980",1232.55419420449
"983",121736.229797672
"984",293162.913024845
"985",221974.96606393
"987",257664.812716139
"988",100847.902935237
"989",197390.853734857
"990",32014.641241735
"992",153748.319378957
"1003",151509.500942563
"1008",133976.900067657
"1015",174964.628725767
"1017",47161.962069936
"1018",46449.2023666622
"1019",34155.0298567311
"1021",186259.935627973
"1024",178305.202297973
"1025",108465.71550781
"1026",76399.0571462875
"1030",145747.170158012
"1031",125406.035946787
"1033",13171.7004094242
"1034",480.367914335406
"1042",121586.190308182
"1048",24279.2345443616
"1050",120528.965069767
"1051",5971.11351772665
"1052",64434.8272560389
"1053",118526.253290203
"1054",210995.201550023
"1057",263060.526054978
"1058",249180.409672281
"1061",47599.0093891006
"1065",17603.4720612551
"1067",26210.2751648084
"1068",12889.9022108214
"1070",110678.60557248
"1071",8847.71167378444
"1072",137894.679879029
"1073",225404.299181358
"1076",35592.7113886856
"1079",124248.40601877
"1080",25626.9323622493
"1082",105420.445156938
"1084",4352
"1085",382.164289949815
"1086",169382.924063362
"1092",9625.3077961419
"1094",27905.9754196489
"1101",63508.7401262968
"1102",98235.8144632712
"1105",74913.3519945938
"1107",62195.5040302059
"1109",168668.78950324
"1110",73292.7352929536
"1111",64605.5576223121
"1112",32026.8838916585
"1113",71137.1141331655
"1116",166838.868507693
"1117",28012.0953770969
"1118",682.135520529522
"1121",53949.4073899223
"1122",28981.5162593227
"1123",26035.689502005
"1126",890.968952480792
"1128",53937.9163190533
"1130",97977.3796813856
"1133",77.0753787878788
"1135",33490.1942751245
"1140",54778.9172926783
"1141",83831.8125559879
"1143",163465.254089985
"1145",82047.1492488975
"1151",133737.019685648
"1152",29064.5222634922
"1153",36774.8614313713
"1154",24998.9919826883
"1157",67469.8185849589
"1158",137222.435691955
"1159",79810.0910576843
"1161",896.52622052784
"1162",7266.07992715639
"1164",143788.951563641
"1165",159886.209641585
"1166",25016.3503652811
"1167",4305.9475758399
"1168",57392.4873724878
"1169",155734.227408754
"1171",69600.9756494746
"1172",104943.042430225
"1176",5959.12586899684
"1177",49075.999844444
"1180",55295.7680590625
"1183",30231.4212869614
"1184",96542.2636830806
"1185",88029.17888518
"1186",645504.554673017
"1188",32107.9404304735
"1191",1102.2355012528
"1192",28599.7109634288
"1193",15482.6976332354
"1194",155643.787848992
"1195",6241.6957854766
"1197",213337.194220102
"1198",263613.299522688
"1199",71102.3179524239
"1200",7296.47779244536
"1201",32979.7520866673
"1202",50498.6497878824
"1203",211058.233908604
"1204",89071.1507778643
"1212",6904.5023266065
"1214",107421.421401691
"1218",118181.245777649
"1219",70402.550036464
"1223",87126.3565350613
"1224",81964.527079965
"1228",66474.3493452039
"1229",194960.06206113
"1231",93423.8996133371
"1234",121388.495020784
"1235",74400.3378943264
"1236",101100.684942544
"1241",71316.017003537
"1242",75808.8806210391
"1243",202063.185366564
"1244",2931.5559312978
"1245",52420.9491868501
"1246",125320.481345868
"1252",662465.16739932
"1255",383617.421993556
"1256",313.745876345876
"1258",328465.341391727
"1262",9142.33786058376
"1263",25129.8739381943
"1269",17772.8878701827
"1273",60.53166000666
"1274",53638.2140853489
"1281",94130.9535133338
"1282",7396.03255246839
"1283",12742.2066587671
"1285",34231.9043142056
"1289",11247.4368654197
"1291",35223.1716052232
"1292",10524.3346311788
"1293",28068.585397195
"1294",80824.4618244744
"1295",97530.5804852001
"1299",71091.689708864
"1300",40012.5661942908
"1305",305735.198224304
"1306",187408.65038507
"1308",97629.3991417344
"1311",64928.9501836032
"1313",24245.4741456275
"1314",48114.6494963336
"1315",90731.6571287502
"1316",2583.31053342082
"1317",164785.048820629
"1318",156475.583242592
"1319",45799.7798444724
"1322",256045.33229279
"1324",126870.28882411
"1325",909.124168753506
"1326",1726.05995653008
"1327",105940.314328103
"1328",46013.0613897892
"1330",115471.693993173
"1332",42531.3455525555
"1333",31106.9662781121
"1334",45501.903555292
"1335",11623.0291855177
"1339",49345.1804888814
"1347",147853.04065403
"1348",83106.7285124403
"1349",128209.665071208
"1352",16564.7711449884
"1353",112846.51507235
"1354",148279.256628681
"1356",137562.992963649
"1357",58795.2362581086
"1359",173124.654799648
"1361",42560.7022884912
"1363",61136.8860822319
"1364",214196.048927094
"1367",206475.607670212
"1368",122843.42894302
"1369",40253.1822020339
"1370",112160.293649984
"1372",54333.4267404425
"1373",181518.150914527
"1374",69324.407613921
"1375",88879.5061780252
"1377",65209.2545953685
"1378",31466.9194679666
"1379",34645.9100869085
"1380",20427.4075843876
"1381",70147.607554815
"1382",259043.610553826
"1384",89603.1534672365
"1385",22958.0262324333
"1386",120229.606878144
"1387",39343.7486639254
"1388",74503.1193486096
"1389",9908.68166963755
"1391",203241.155968265
"1392",42917.7413436644
"1393",110075.121241602
"1396",59525.0336867823
"1400",39494.9234956903
"1401",85352.8557417185
"1409",42453.1545876392
"1410",141742.182680499
"1414",113156.584911497
"1415",86534.8370215627
"1421",41567.2354091931
"1422",14532.8697986746
"1425",20361.2441208099
"1428",98963.8902352347
"1430",91027.5161750559
"1433",44105.6139391858
"1434",240.445464097395
"1435",1180.4865608248
"1440",91174.4346081171
"1443",54571.9110093732
"1444",46681.4270992801
