"","x"
"0",1.31630387138132e-06
"1",1.31784253363134e-06
"3",1.32032897316695e-06
"8",1.31460287161851e-06
"10",1.31845066225777e-06
"12",1.30990352560534e-06
"14",1.32467876539939e-06
"17",1.32436122747096e-06
"19",1.31945791391065e-06
"20",1.31433505817904e-06
"21",1.30742539177002e-06
"23",1.3161877936744e-06
"25",1.32006404950768e-06
"26",1.32870236269854e-06
"29",1.29767832371105e-06
"30",1.28968023668212e-06
"38",1.32834054400859e-06
"39",1.31889408093525e-06
"46",1.32862468744104e-06
"54",1.32271807983662e-06
"58",1.32604714628024e-06
"60",1.30661565639144e-06
"61",1.30790418817079e-06
"62",1.31359093727341e-06
"65",1.31206218125089e-06
"73",1.3291968726656e-06
"75",1.31074311270031e-06
"76",1.31698515757727e-06
"77",1.31876189358383e-06
"78",8.45709767207815e-09
"80",1.32699208051126e-06
"81",1.31208972594382e-06
"83",1.31701637841568e-06
"84",1.33014807208338e-06
"87",1.31890625741885e-06
"88",1.31814652780432e-06
"89",1.32793836241297e-06
"90",1.33050202502408e-06
"91",1.32674911970196e-06
"92",1.31658288810889e-06
"93",1.3227583214726e-06
"94",1.31795716639209e-06
"96",1.31252198474324e-06
"97",1.31046484809091e-06
"99",1.31635931870507e-06
"101",1.32559363396913e-06
"106",1.32820469228154e-06
"107",1.30558870300207e-06
"108",8.45554234377064e-09
"109",1.32186658136221e-06
"111",8.45554234377064e-09
"112",1.3233885098116e-06
"113",1.30371127488622e-06
"115",1.30297234050316e-06
"116",1.29735844846308e-06
"118",1.31272701972897e-06
"119",1.2986355236553e-06
"120",1.31771923883266e-06
"121",1.32952557209485e-06
"122",8.45943166611104e-09
"123",1.32984559162836e-06
"124",1.32386505049221e-06
"125",1.32429107388087e-06
"126",1.31289419648249e-06
"127",1.31364788193984e-06
"128",1.31801622741579e-06
"129",1.32632151359811e-06
"130",1.32368981182426e-06
"131",1.31821603187974e-06
"132",1.32010064447313e-06
"133",1.3239474286955e-06
"136",1.31900889671501e-06
"137",1.32468402974181e-06
"141",1.31723843596377e-06
"144",1.32218991671526e-06
"147",1.31985671635487e-06
"148",1.32254314466374e-06
"150",1.31762200850393e-06
"153",1.3158431462336e-06
"154",1.32406137289276e-06
"157",1.3237634064139e-06
"158",1.32570258922973e-06
"162",1.323134611746e-06
"165",1.32605769677039e-06
"166",1.3152720179824e-06
"167",1.32515623592021e-06
"168",1.31155109278437e-06
"170",1.3284234801507e-06
"171",1.31930124528845e-06
"175",1.32665407229734e-06
"176",1.32068120736676e-06
"177",8.45554234377064e-09
"180",1.32261836111714e-06
"181",1.31981839298912e-06
"183",1.29168092897692e-06
"184",1.32532659360583e-06
"185",1.30789734575313e-06
"187",1.33057283821831e-06
"189",1.32193298328548e-06
"190",1.32826291104756e-06
"192",1.32606473052376e-06
"193",8.45554234377064e-09
"194",1.31112119217628e-06
"195",1.32738840313848e-06
"198",1.32567974228786e-06
"200",1.31531872803418e-06
"201",1.28211045638004e-06
"206",1.32270408331978e-06
"207",1.31542080969413e-06
"213",1.32624411644954e-06
"218",1.31523742008289e-06
"220",1.30847920695692e-06
"221",8.45554234377064e-09
"223",1.32665407229734e-06
