"","x"
"0",21
"1",16
"3",18
"8",12
"10",15
"12",13
"14",14
"17",20
"19",15
"20",15
"21",13
"23",14
"25",21
"26",21
"29",4
"30",17
"38",15
"39",18
"46",22
"54",18
"58",27
"60",3
"61",7
"62",12
"65",21
"73",16
"75",22
"76",16
"77",18
"78",7
"80",13
"81",18
"83",25
"84",18
"87",19
"88",21
"89",22
"90",31
"91",18
"92",31
"93",24
"94",26
"96",12
"97",26
"99",56
"101",14
"106",67
"107",19
"108",6
"109",16
"111",3
"112",13
"113",12
"115",18
"116",3
"118",25
"119",12
"120",24
"121",23
"122",9
"123",14
"124",21
"125",25
"126",7
"127",58
"128",32
"129",36
"130",34
"131",48
"132",35
"133",36
"136",17
"137",26
"141",18
"144",13
"147",50
"148",31
"150",17
"153",12
"154",16
"157",19
"158",11
"162",19
"165",63
"166",13
"167",33
"168",39
"170",29
"171",65
"175",15
"176",23
"177",9
"180",25
"181",13
"183",9
"184",14
"185",32
"187",25
"189",19
"190",31
"192",22
"193",7
"194",15
"195",16
"198",19
"200",34
"201",14
"206",19
"207",12
"213",19
"218",11
"220",50
"221",11
"223",25
"227",16
"229",15
"231",9
"234",20
"235",13
"236",20
"237",26
"238",22
"239",23
"240",17
"242",13
"244",21
"247",11
"248",16
"251",14
"252",24
"253",11
"254",17
"255",15
"256",19
"260",34
"261",65
"262",21
"263",63
"264",16
"265",25
"266",27
"267",32
"268",15
"270",19
"272",15
"273",17
"275",25
"276",7
"277",20
"280",15
"281",16
"282",13
"285",15
"286",15
"287",14
"289",14
"292",17
"295",12
"299",5
"300",12
"301",11
"304",15
"305",14
"306",5
"308",18
"311",25
"314",36
"315",22
"316",16
"317",19
"318",13
"327",19
"328",24
"331",12
"333",6
"335",20
"336",3
"340",23
"343",35
"344",50
"345",64
"346",38
"347",43
"348",49
"349",14
"351",6
"352",13
"354",19
"355",13
"356",21
"358",14
"360",18
"369",12
"375",19
"381",22
"385",20
"386",14
"387",14
"390",25
"391",6
"397",28
"405",37
